Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
U4PRJ1;Q95ZL3,21.8276,20.8291,20.0543,20.3575,21.6964,20.9746,20.8258,21.3205,20.6035,19.2351,21.7549,19.1234,17.6405,20.0444,20.1618,19.7342
A5JYX4,21.5185,20.5444,20.9012,21.6549,24.2108,23.1112,23.859,21.3045,18.3523,21.2156,19.5447,17.3114,19.3751,18.7574,18.2992,21.2439
A5JYX4,23.8395,23.0608,23.9176,25.3203,26.0093,22.103,25.3166,25.5269,24.5257,24.5425,25.5771,23.5064,26.0653,24.4665,24.5951,22.2333
A5JYX4,20.7993,19.6805,20.9888,21.5947,21.5335,20.9716,19.4306,20.4544,19.4325,18.2136,17.8687,20.5942,19.6341,18.7559,17.1171,19.9607
A5JYX4,21.698,21.3442,21.4864,21.7275,22.6773,22.232,21.6404,22.4295,21.005,20.0773,22.036,21.2865,20.3104,19.1644,20.2899,20.6981
A5JYX4,21.0697,20.5825,19.883,20.5889,22.6773,22.232,24.1891,24.6567,17.617,18.5062,21.6379,20.0051,19.9937,19.1796,18.7537,19.0696
A5PEY0,27.4033,26.922,25.801,26.8877,25.4644,22.8952,23.3948,23.1835,26.2413,27.5532,26.1096,26.2722,24.4365,24.4373,22.4575,22.6709
I2HA81,26.6272,25.9055,27.2079,26.4594,26.4924,25.37,25.1078,24.4062,25.2276,25.7521,25.6308,26.0658,26.4672,26.8578,25.2635,27.0423
A5Z2W7,20.8655,20.101,21.3691,21.1898,22.5596,22.6869,23.4988,22.4997,19.6461,19.5996,18.897,18.4448,19.471,19.3592,17.832,17.7603
A5Z2W7,24.4835,24.6633,24.3086,24.2365,21.968,21.1502,21.3301,20.8869,19.6908,17.3903,19.388,18.9776,19.3769,19.325,21.6318,20.2849
A6PVA5,21.99,22.4947,22.7624,22.5354,27.5735,23.9388,24.4157,22.9424,18.1628,19.9157,18.4803,16.7249,20.6991,21.6252,19.4246,21.1426
Q20621,21.6043,20.7484,20.4864,21.8316,21.3146,20.6435,20.8705,20.5577,18.0417,19.0986,21.2424,20.0471,23.3649,21.8957,23.5654,23.609
A7DT41,19.6347,21.7686,21.4388,20.9624,23.0492,22.3925,24.97,22.0553,19.7301,18.9493,17.5281,21.1365,20.5935,21.7645,19.3712,19.1424
