Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value daf2_d15_N2_d15;Student's T-test q-value  daf2_d15_N2_d15; Student's T-test Difference  daf2_d15_N2_d15;Student's T-test Test statistic  daf2_d15_N2_d15;Sign p-val: 0.05 
P91374(85);19,166;19,5156;20,7679;20,5788;19,9865;20,6523;19,6805;19,8508;0,0271803;0,955177;-0,0354681;-0,0793517;
P91374(93);19,8399;19,5676;21,1406;19,7895;25,3452;25,4118;23,5796;25,5054;3,79723;0,00129293;-4,87612;-8,35761;+
P91374(153);20,5471;18,3324;18,3921;19,6449;21,0654;20,1868;20,3634;19,6026;0,887028;0,206902;-1,07543;-1,75545;
P91374(157);19,3302;20,6903;19,0856;21,1971;21,3868;21,8687;19,9087;18,2612;0,107676;0,800535;-0,280588;-0,2916;
P91374(96);20,8573;21,4981;17,7998;21,3688;20,6612;20,6116;20,9473;19,4912;0,0170811;0,971938;-0,0468116;-0,0504091;
P91398(243);20,9154;19,9918;19,2551;20,1117;18,4495;20,6783;19,7928;19,1019;0,427151;0,456455;0,56288;0,960317;
P91423(57);18,4586;20,264;18,7688;19,2177;20,0621;19,3205;18,8235;19,4783;0,206034;0,669471;-0,243833;-0,519136;
P91482(107);15,88;18,0782;17,8865;18,891;21,1879;19,9461;19,5078;20,566;1,91923;0,0323794;-2,61805;-3,55192;+
P91482(323);23,1866;23,4475;23,0337;22,9582;17,9789;19,7701;19,548;20,869;3,00524;0,00459294;3,61505;5,97255;+
P91491(5);31,3859;30,9326;29,9649;30,7017;32,1038;31,8702;30,5679;24,2893;0,223968;0,646318;1,03848;0,55793;
P91502(400);17,6389;18,6065;20,5389;18,041;21,9005;18,9249;18,6808;20,3512;0,606359;0,336628;-1,25803;-1,28081;
P91502(414);28,2419;26,9061;28,0871;28,6028;27,2588;28,5804;25,6343;24,1847;0,738934;0,269861;1,54491;1,50746;
P91502(549);24,7576;23,5913;23,5334;23,9617;20,3825;19,7038;19,9677;21,1307;3,90204;0,00144633;3,66482;8,72565;+
P91502(550);22,501;23,1681;22,0967;21,6174;20,8366;20,028;19,2542;19,1937;2,59663;0,0100665;2,51771;4,96817;+
P91502(428);18,6588;21,9049;21,8796;19,5965;20,4095;19,5598;19,0787;20,1002;0,357771;0,517692;0,722905;0,829133;
P91502(571);19,1555;19,2932;19,0099;18,4734;25,7358;25,4598;24,687;26,6953;5,2133;0;-6,66148;-14,7432;+
P91502(518);19,8582;18,2143;19,3609;20,8128;20,2553;21,275;20,4524;20,6135;0,950769;0,186004;-1,08748;-1,86142;
P91502(445);18,858;17,9355;19,7053;19,2761;24,6952;24,2762;22,7138;21,4293;2,68069;0,00861878;-4,33491;-5,1643;+
P91502(447);19,6766;19,8619;21,8784;21,0777;19,726;18,1242;19,393;21,2923;0,552282;0,368107;0,989753;1,18625;
P91821(61);22,7259;23,1397;22,7927;23,4221;20,1025;18,651;16,7131;21,3018;2,05892;0,0260386;3,82799;3,82289;+
P91856(332);18,973;21,3739;21,5705;20,2616;21,2205;18,6972;19,0601;21,2443;0,215042;0,657;0,489226;0,538708;
P91857(115);19,4941;19,5486;20,6308;19,9047;19,4404;20,675;17,8663;19,4702;0,363614;0,512421;0,531579;0,840386;
P91913(49);24,8615;24,5642;26,9347;24,9216;20,0782;21,3056;20,5844;19,1422;3,41187;0,00269831;5,0429;7,11575;+
P91913(33);24,7146;24,4792;24,2369;25,2002;20,2992;21,6411;18,7891;20,2278;3,42436;0,0027354;4,41844;7,15343;+
P91913(92);25,0497;26,0666;27,9234;26,5935;23,5644;23,3328;24,2114;23,7948;2,2836;0,0177068;2,68248;4,28016;+
P91913(93);25,0497;26,0666;27,9234;26,5935;22,3965;23,3328;23,2856;23,4324;2,65942;0,00884058;3,29652;5,11418;+
P91914(115);19,921;18,1518;21,6054;19,4174;21,0689;21,0447;18,7194;21,3274;0,350495;0,524478;-0,766169;-0,815062;
P91914(27);18,1356;19,6682;19,8481;18,8257;19,9836;20,1776;17,9112;21,3866;0,397842;0,480455;-0,745366;-0,905518;
P91914(93);20,9267;18,9173;18,8158;19,3034;18,3547;20,0292;19,4676;20,7334;0,0798583;0,85304;-0,155458;-0,221519;
P91917(281);20,7748;18,3019;20,3263;18,4195;19,7454;20,8388;18,2265;20,827;0,202257;0,673129;-0,453786;-0,510873;
P91918(97);17,8319;19,312;20,6955;17,7942;19,5454;17,5398;18,0582;21,2439;0,0616984;0,887597;-0,188452;-0,174031;
P91918(8);19,0035;19,8542;20,3067;20,9815;21,694;18,3445;19,933;19,4605;0,0792842;0,853167;0,17844;0,22004;
Q02335(259);21,6327;19,746;21,0055;19,483;19,2756;20,1113;19,5102;21,0023;0,326709;0,542439;0,491944;0,768595;
Q02335(184);18,317;19,9482;20,6327;20,2432;22,829;22,5364;20,9024;21,1069;1,57094;0,0600442;-2,05842;-2,91352;
Q03206(166);19,796;19,0378;19,2508;21,288;19,4973;17,9485;19,8693;19,2399;0,488367;0,410984;0,704406;1,07229;
Q03562(244);19,4551;21,2152;18,8892;20,3067;21,1331;20,2702;18,929;21,8058;0,296338;0,573272;-0,567938;-0,708128;
Q03564(315);15,3349;18,6825;20,3717;21,0715;21,9467;18,957;20,5149;21,1926;0,589369;0,347921;-1,78767;-1,25126;
Q03567(241);19,6461;20,0269;21,4319;18,4047;24,3462;22,7439;21,996;24,6428;2,14543;0,0217105;-3,55486;-3,99565;+
Q03567(7);23,7116;24,4818;23,7413;23,4801;28,5565;27,1956;27,4209;28,1592;4,32309;0,00193939;-3,97934;-10,3524;+
Q03601(834);22,5854;22,2582;22,4915;23,2412;20,365;18,3892;19,0156;18,0647;3,26853;0,00319298;3,68547;6,69466;+
Q04833(4605);19,1302;21,5913;20,2348;20,0301;21,6812;19,4431;20,6861;19,7177;0,0671122;0,877369;-0,135434;-0,188343;
Q05036(533);19,7818;20,5638;20,0485;20,4361;19,442;18,5543;19,9584;20,459;0,65181;0,310552;0,604096;1,35923;
Q05036(479);20,2254;20,4119;18,391;19,5793;21,0486;21,4707;19,9875;19,6988;0,703097;0,287462;-0,899513;-1,44677;
Q05062(133);23,5783;23,8022;24,2012;24,198;23,2186;25,8048;24,6192;24,1202;0,38654;0,490435;-0,49579;-0,884155;
Q05062(144);18,424;20,5279;19,1896;19,0023;20,4579;18,1394;20,4607;21,4794;0,457106;0,434157;-0,848373;-1,0155;
Q05062(184);19,2649;21,0256;20,8645;18,8132;21,6471;19,0237;20,5843;19,3854;0,0736599;0,864156;-0,168088;-0,205474;
Q05062(185);16,84;20,1407;19,3925;20,5959;19,762;19,4384;21,586;19,5808;0,378674;0,496224;-0,849512;-0,869204;
Q067X2(125);20,6361;18,9143;20,9245;21,5424;19,5729;18,1841;19,2905;21,359;0,471982;0,42351;0,90268;1,04262;
Q07750(118);20,384;19,6732;18,2782;17,8051;19,6275;21,7706;19,5052;20,7653;0,86751;0,213324;-1,38201;-1,72294;
Q07750(31);19,5223;20,2477;19,3497;21,0414;19,4467;19,2592;19,6899;21,0717;0,114105;0,790094;0,17341;0,307379;
Q09217(112);21,0812;21,8127;20,7258;21,7087;19,139;20,2102;21,1584;20,0389;1,3028;0,0958172;1,19549;2,44992;
Q09236(39);20,2665;20,6054;21,5944;20,2633;19,606;19,7712;18,0633;20,6413;0,955598;0,184319;1,16195;1,86944;
Q09236(45);19,2407;18,5954;20,9847;19,1029;19,4872;20,7434;18,4042;20,7717;0,188938;0,685357;-0,370759;-0,481475;
Q09236(14);18,1918;20,0705;20,0925;20,648;18,6239;21,5802;19,7521;21,0133;0,233136;0,633019;-0,491674;-0,577497;
Q09237(795);20,3509;21,0781;18,7145;21,478;21,4806;18,9117;19,3592;19,3978;0,310881;0,558576;0,61807;0,73725;
Q09237(832);21,3919;19,7731;19,9306;18,7332;20,3995;19,818;20,1727;18,2589;0,154866;0,732914;0,29495;0,40423;
Q09248(67);18,6865;20,7554;18,9941;19,608;18,4489;19,3965;20,1832;20,5994;0,0800119;0,853021;-0,14604;-0,221914;
Q09250(74);18,6325;20,6631;19,9847;19,3786;18,3263;21,7281;19,6804;20,6362;0,201099;0,673972;-0,427996;-0,508335;
Q09269(83);23,7097;23,2132;24,6805;23,5073;23,2435;24,4114;24,792;24,5468;0,451432;0,438333;-0,470761;-1,0051;
Q09289(347);26,5493;27,1558;25,9486;26,9802;26,0821;24,8962;24,0096;27,0612;0,788574;0,244533;1,1462;1,591;
Q09289(362);24,4828;25,6662;24,7993;24,9579;23,3493;23,86;23,8649;24,1672;2,07672;0,0246502;1,1662;3,85811;+
Q09289(338);25,9683;26,1378;27,177;26,9775;26,6628;25,9846;24,6079;26,8781;0,392818;0,484252;0,53182;0,896038;
Q09289(242);19,8788;19,2877;19,6396;20,4658;18,9295;21,1933;19,0141;20,4199;0,0408318;0,927223;-0,0712223;-0,117543;
Q09289(130);23,1925;23,7389;23,8807;23,8133;24,2432;24,1364;25,0218;24,6434;1,80487;0,0400584;-0,854816;-3,33689;+
Q09289(122);19,5762;19,3111;19,7605;20,5221;20,5014;20,672;21,0986;17,4112;0,0508628;0,908496;-0,128297;-0,14497;
Q09289(105);19,4843;21,9355;17,9319;20,5251;23,4856;23,2087;24,4015;22,8287;2,08011;0,0246841;-3,5119;-3,86484;+
Q09289(241);20,9148;21,8667;19,6763;18,8547;19,7545;21,5147;20,292;18,6971;0,109999;0,796112;0,263531;0,297317;
Q09350(297);19,6789;20,1308;18,448;19,539;20,2681;17,4138;21,011;21,739;0,268307;0,597619;-0,658821;-0,651056;
Q09407(34);16,31;20,201;20,0464;20,5964;22,0466;21,0142;18,961;20,9783;0,576165;0,355052;-1,46155;-1,2282;
Q09422(156);25,3379;26,1664;25,9322;24,7796;24,708;24,6976;25,2424;21,5455;0,837992;0,225668;1,50563;1,6737;
Q09422(127);19,8542;20,2056;19,5116;19,626;20,1447;19,2746;20,0261;20,6522;0,29069;0,579545;-0,225022;-0,69673;
Q09422(76);19,2193;19,2148;20,7635;17,9743;18,3925;19,8827;20,3676;20,2555;0,23932;0,626842;-0,431579;-0,590602;
Q09436(302);23,8127;25,4392;24,8017;23,7179;19,1002;19,918;19,8427;19,872;4,34109;0,00206452;4,75964;10,4277;+
Q09444(259);20,2026;21,484;19,1918;19,4244;20,8804;21,6655;20,0105;17,8677;0,010547;0,983369;-0,0303621;-0,03135;
Q09444(303);24,387;24,5151;24,9001;25,2317;19,7137;20,6731;17,4009;19,6511;3,53762;0,00238783;5,39876;7,50273;+
Q09444(305);25,2723;26,1759;26,1531;25,6647;21,3161;20,8469;19,9923;20,7713;5,18058;0;5,08484;14,5548;+
Q09444(307);24,5524;24,451;24,3144;24,1886;20,7579;19,9537;21,5225;18,0002;2,88837;0,00571674;4,31804;5,6717;+
Q09489(98);18,2263;19,817;18,4087;20,9787;19,3151;20,9534;18,2707;20,1468;0,137159;0,758524;-0,313805;-0,362801;
Q09489(8);20,3119;18,6773;20,5638;19,2301;20,4352;20,4902;20,8033;20,8765;1,08199;0,144516;-0,955526;-2,07946;
Q09490(38);20,0694;21,0161;19,364;20,3976;19,9092;19,5205;21,3468;19,1125;0,153951;0,734178;0,239502;0,402112;
Q09490(40);23,1132;23,5012;23,2213;22,4843;19,1122;18,4139;18,721;20,8399;3,21168;0,00372067;3,80826;6,5333;+
Q09533(208);21,1004;19,2094;20,8306;19,9423;20,1012;18,9414;18,4568;18,4853;1,15675;0,127095;1,2745;2,20415;
Q09533(121);19,3891;20,3564;19,4852;21,1586;20,2558;21,1203;20,9943;19,4291;0,252741;0,610921;-0,352541;-0,618784;
Q09533(30);18,0404;20,3476;21,2238;20,0768;20,5575;21,6223;18,5383;20,2126;0,125255;0,775402;-0,310539;-0,334405;
Q09533(39);20,7739;20,4644;18,4328;17,5774;19,0598;20,8927;20,8796;21,6057;0,656858;0,308572;-1,29736;-1,36788;
Q09560(840);18,4318;19,2489;18,6316;21,7216;21,3292;18,4688;21,4632;18,3341;0,127311;0,771614;-0,390366;-0,339342;
Q09568(563);24,2825;24,265;22,3212;22,7669;25,4964;24,9161;23,8969;23,4082;0,716044;0,2814;-1,02049;-1,46873;
Q09581(5);20,2263;20,1164;19,4445;20,2574;21,4838;19,725;19,6504;19,6735;0,0907483;0,828913;-0,122021;-0,249317;
Q09581(232);20,8874;20,8213;18,4637;19,454;20,5439;19,8449;21,0377;18,9887;0,0984816;0,814203;-0,197221;-0,268769;
Q09581(200);19,7166;20,3473;20,214;18,1541;19,7022;21,7267;20,3433;20,4697;0,703913;0,287216;-0,952512;-1,44815;
Q09581(74);20,4982;21,1333;21,2684;21,369;25,8132;25,6169;24,3843;25,4069;4,5525;0,000918919;-4,23811;-11,3496;+
Q09581(185);19,7014;20,9715;20,0666;20,307;20,457;20,4955;20,7762;19,4014;0,0175608;0,972022;-0,0209007;-0,0517975;
Q09614(846);20,3675;19,9747;21,607;21,4366;25,9523;24,724;23,6258;25,3625;3,1547;0,00406486;-4,06967;-6,37462;+
Q09665(57);17,4613;19,9521;21,8558;19,9597;21,1571;19,7458;19,0513;19,2214;0,00435777;0,992332;0,0133038;0,0130434;
Q09934(851);17,8089;19,9228;19,4586;18,1123;19,4314;16,5488;20,7658;20,6088;0,181693;0,696956;-0,513051;-0,465305;
Q09934(443);23,7696;24,3995;22,3852;24,2358;19,802;21,4708;19,1231;20,2765;2,71241;0,0083221;3,52941;5,23964;+
Q09934(356);19,0254;20,0658;19,2315;19,2038;21,666;21,0287;22,9095;22,66;2,78492;0,00760784;-2,68443;-5,41474;+
Q09936(37);18,9195;20,1838;19,252;20,7966;20,1985;20,2855;19,5501;19,069;0,00794494;0,987112;0,012239;0,0236844;
Q09936(217);18,2051;19,9381;21,6023;20,7349;20,1692;20,4218;19,9491;18,1928;0,195019;0,677567;0,436874;0,49495;
Q09936(121);18,5704;19,8477;20,2015;19,0712;18,6224;18,5542;20,5798;21,467;0,183958;0,692698;-0,383166;-0,470374;
Q09936(263);23,8109;23,3339;21,2848;24,4972;20,1131;21,2208;20,0718;21,0187;1,88355;0,0344206;2,62563;3,4842;+
Q09936(23);18,0066;19,3239;21,0716;20,5008;20,8108;20,8721;20,8598;19,7125;0,525583;0,385879;-0,838089;-1,13897;
Q09967(32);19,1309;20,3087;20,6979;20,4715;24,6558;23,494;22,9039;20,5928;1,61359;0,0552179;-2,75937;-2,98921;
Q09967(23);26,25;26,5168;25,8103;26,0617;26,6956;26,655;25,338;21,5907;0,394881;0,482376;1,08986;0,899934;
Q09EE6(179);23,9678;24,2124;24,088;23,6643;27,511;27,502;26,2555;27,5602;4,1168;0,00193939;-3,22406;-9,52442;+
Q09EE6(19);19,8153;19,7545;20,0979;18,1366;18,0445;19,5551;18,1975;19,5136;0,465966;0,427464;0,623381;1,03167;
Q09EE6(20);17,9044;21,1964;19,0514;18,8125;23,4994;23,6566;23,5587;21,6121;2,38901;0,0139938;-3,84051;-4,50477;+
Q0G831(125);18,088;19,7629;17,4324;20,1831;18,5944;21,4031;19,7787;20,7469;0,679957;0,295626;-1,2642;-1,40738;
Q0KHC0(68);21,5693;20,24;20,5102;18,3673;20,3158;21,1993;19,9871;18,9906;0,0204095;0,966305;0,0484633;0,0600152;
Q10010(101);19,7094;19,0108;20,1554;19,6955;24,6404;24,8113;28,0567;23,764;2,9575;0,00481465;-5,67535;-5,84828;+
Q10020(77);19,087;19,2914;19,4381;21,0114;20,829;20,3455;17,8878;18,6832;0,123487;0,776834;0,270608;0,330148;
Q10020(57);18,9047;20,3085;17,5927;20,7184;20,4639;21,5532;21,3635;18,8138;0,578745;0,353137;-1,1675;-1,23272;
Q10020(107);18,0308;19,2013;17,1911;18,087;24,1028;23,5255;21,8359;23,0616;3,65903;0,00195556;-5,00392;-7,8928;+
Q10020(108);19,3243;18,4149;20,3635;19,3762;23,5843;23,7531;22,3992;23,0616;3,58093;0,00250199;-3,82983;-7,63996;+
Q10033(254);19,4442;20,6752;20,571;19,9383;20,3795;19,4346;20,0077;18,4131;0,536864;0,378889;0,59841;1,159;
Q10043(105);20,8962;20,5508;18,7499;21,0682;20,482;19,5233;18,8516;20,895;0,213852;0,657989;0,378293;0,536132;
Q10046(29);17,289;19,6832;20,453;18,8327;19,7188;19,9382;19,4028;20,2576;0,498323;0,403445;-0,764854;-1,09022;
Q10121(170);20,998;20,7767;20,4146;20,5042;20,4546;18,7546;18,5496;18,9787;1,78063;0,0415122;1,48899;3,29202;+
Q10121(101);18,3703;19,2399;20,7138;21,1909;20,8267;19,8613;19,6067;21,0757;0,254876;0,609947;-0,463871;-0,623237;
Q10121(28);22,9718;22,4779;21,8188;22,3522;21,7492;22,4412;21,4592;24,9076;0,10541;0,805174;-0,234131;-0,286001;
Q10121(31);19,5536;20,1305;21,1271;19,7536;20,5542;18,9083;18,3945;20,6799;0,31773;0,551893;0,507012;0,750858;
Q10130(368);18,5921;19,8257;18,7688;18,1708;20,022;19,4274;21,6647;20,9357;1,4832;0,0699151;-1,67308;-2,75964;
Q10130(369);19,7705;20,0516;19,6512;18,9496;20,7917;21,6891;21,6196;17,3884;0,310079;0,558698;-0,766505;-0,735653;
Q10454(207);20,5099;19,5361;20,5346;20,8057;18,0317;20,2793;21,1104;20,1506;0,261301;0,601788;0,453566;0,636585;
Q10454(230);22,8773;23,9296;22,6911;23,298;21,8609;19,8273;19,7229;20,0665;2,58548;0,0105043;2,82962;4,94254;+
Q10454(224);20,3993;19,7051;20,4538;17,3678;19,4226;20,4165;17,7997;20,3234;0,0032086;0,99417;-0,00908899;-0,00961634;
Q10454(368);26,3996;24,7223;25,6462;25,5566;26,2043;24,6483;23,9477;25,8478;0,277181;0,590502;0,419177;0,669263;
Q10454(334);18,4332;21,0005;18,621;19,5026;20,1529;17,8073;18,7569;19,1232;0,227141;0,642116;0,429237;0,564722;
Q10454(136);19,861;19,2302;21,5426;21,6378;18,3763;19,9098;19,4263;19,9141;0,82274;0,230825;1,16124;1,64822;
Q10454(296);17,9674;19,0868;17,6211;18,822;19,4353;21,4814;20,3527;20,6249;2,07141;0,0251451;-2,09927;-3,84759;+
Q10454(158);18,5917;19,3557;19,9903;20,9368;18,8703;19,9384;18,8168;18,6709;0,514719;0,39209;0,644516;1,1196;
Q10454(71);17,6404;19,3956;19,7168;21,3855;19,7681;19,9292;19,3502;18,0719;0,10745;0,800729;0,254699;0,291042;
Q10457(410);21,2946;19,4417;17,8785;20,5087;18,3216;20,4712;19,53;20,9764;0,0157725;0,974539;-0,0439048;-0,0466135;
Q10578(837);18,2211;20,3765;20,8937;19,0023;20,4824;20,2448;19,5945;20,2851;0,353104;0,522232;-0,528284;-0,820115;
Q10578(650);18,8449;19,0818;19,8566;16,6307;20,2459;20,3879;19,265;19,0166;0,70824;0,284933;-1,12535;-1,4555;
Q10578(999);18,7747;19,5547;20,3608;21,0616;20,3741;21,31;20,1154;21,5412;0,724061;0,27749;-0,897192;-1,48231;
Q10578(762);16,8592;21,104;17,5406;19,2311;18,0994;17,6938;17,9345;19,2791;0,164773;0,720473;0,432022;0,42701;
Q10651(685);24,2153;24,6693;23,5063;23,8208;17,7458;19,5248;18,9248;18,9219;4,63578;0,001;5,27359;11,7328;+
Q10655(49);20,0789;18,1533;19,6923;17,9978;20,082;21,38;19,8341;21,5717;1,34162;0,0880677;-1,73639;-2,5159;
Q10657(67);27,6017;26,6858;24,9685;26,4722;24,1007;26,0132;25,0216;25,7043;0,894749;0,204252;1,2221;1,7683;
Q10901(485);26,4374;26,5917;25,3554;26,1619;27,1903;26,5578;27,7211;26,4585;1,09182;0,142013;-0,845324;-2,09582;
Q10943(142);20,0261;19,7658;20,5221;17,9382;19,7356;19,4227;19,4137;21,2046;0,215127;0,657014;-0,381088;-0,538892;
Q11080(31);23,4203;22,3095;23,7743;24,3298;24,3149;24,2449;24,218;24,9205;1,10093;0,140013;-0,96612;-2,11101;
Q11101(141);17,4636;19,1253;19,4767;20,4291;21,1977;20,2492;19,8259;17,106;0,169934;0,714863;-0,471032;-0,438771;
Q11176(325);24,0342;24,1617;24,7636;24,5124;21,884;18,7645;19,3391;19,4615;3,1426;0,00401067;4,5057;6,34133;+
Q17334(277);19,5045;20,5014;20,8747;20,2024;21,3495;19,4091;18,8623;20,1267;0,218742;0,65319;0,333839;0,546695;
Q17334(316);21,6337;22,3635;22,8675;22,5906;22,3682;21,5991;22,1296;24,6283;0,171181;0,713327;-0,31748;-0,441603;
Q17334(90);19,491;18,3314;17,9993;18,5816;20,3542;17,6985;21,156;18,0746;0,340048;0,5312;-0,719961;-0,794746;
Q17339(313);20,6994;19,4233;21,1145;20,8851;20,1671;21,4287;21,2317;20,7797;0,336624;0,534324;-0,371194;-0,788056;
Q17348(85);20,6948;20,2213;18,5236;20,1568;17,3806;19,1889;20,8773;20,2;0,217407;0,654051;0,487415;0,543817;
Q17361(345);22,9852;24,1211;24,2403;22,9515;24,6636;24,601;24,5327;23,9304;1,15474;0,127419;-0,857396;-2,20079;
Q17361(129);17,7816;20,4393;16,3061;19,6767;25,1529;24,2859;25,4392;20,7086;2,00813;0,027209;-5,34573;-3,72325;+
Q17361(461);21,5271;19,0786;20,4983;19,5657;24,9873;25,6637;25,1384;26,6926;3,75491;0,00157282;-5,45305;-8,21285;+
Q17361(283);22,532;22,7645;22,6599;23,9856;23,4284;23,9893;22,4125;24,5472;0,489913;0,409971;-0,608864;-1,07508;
Q17389(773);20,172;19,6638;19,8802;20,8367;18,5038;17,8952;19,6524;19,2086;1,53705;0,0638218;1,32319;2,85379;
Q17405(42);22,2276;23,0367;23,8906;21,6443;26,9155;26,8573;25,5422;26,1551;3,10847;0,00435417;-3,66775;-6,24811;+
Q17405(59);18,0126;20,2498;19,6378;20,4022;20,4551;21,0873;20,652;17,3094;0,108383;0,799149;-0,30031;-0,293341;
Q17405(62);17,0406;18,6711;20,1332;20,3872;18,3992;20,215;20,8544;19,8642;0,359858;0,515803;-0,775202;-0,833158;
Q17405(8);22,7754;23,1467;21,9059;22,152;25,9144;24,9009;26,3973;25,0328;3,2734;0,00324036;-3,06636;-6,70864;+
Q17405(39);24,8302;25,4354;25,1051;24,6789;27,1944;27,338;27,112;27,4506;4,77288;0,00117241;-2,26137;-12,3901;+
Q17410(258);19,1784;19,9567;21,1608;19,4655;24,8451;24,9169;25,9909;24,1222;3,87486;0,00139891;-5,02845;-8,62889;+
Q17413(37);18,8393;19,4434;19,5907;20,2085;19,2583;17,9331;20,8763;18,9389;0,152983;0,735399;0,268837;0,399869;
Q17430(84);20,5963;21,8571;19,9098;19,7115;23,6434;22,6599;22,8415;22,8901;2,47246;0,0124124;-2,49003;-4,68757;+
Q17435(17);18,1354;20,6581;19,642;21,7883;21,0686;18,749;20,6779;18,4658;0,115002;0,789516;0,315619;0,309569;
Q17446(260);17,8858;21,8331;21,0022;17,9508;19,6759;21,0054;21,1139;19,7677;0,272626;0,594561;-0,722745;-0,659935;
Q17455(301);18,5634;17,857;19,8195;19,3331;25,2243;24,5027;23,8625;25,9601;4,13151;0,00196923;-5,99415;-9,58143;+
Q17489(247);21,5991;17,4978;17,7679;21,6547;21,2838;21,0052;20,8134;18,8504;0,277663;0,590216;-0,858312;-0,670248;
Q17542(583);24,0582;27,4798;27,0076;26,8906;28,6923;27,3321;26,4569;28,1551;0,684851;0,293666;-1,30005;-1,41573;
Q17543(260);19,7894;19,6808;17,9374;19,984;25,5296;26,0161;25,7794;25,6328;4,92383;0,00161905;-6,39161;-13,1535;+
Q17561(129);19,8953;19,4199;17,906;18,6564;19,3019;21,0881;19,9542;20,969;1,17007;0,12386;-1,35891;-2,22643;
Q17569(299);25,16;24,2265;24,2516;25,0833;25,4603;25,4088;25,3588;25,0873;1,28221;0,099098;-0,648466;-2,41504;
Q17569(136);23,3767;23,2197;24,2205;21,9589;24,3204;23,5499;22,1506;22,6528;0,0128597;0,979325;0,0255466;0,0381268;
Q17569(218);23,6347;24,1273;24,8264;24,3631;20,9431;20,0236;21,3717;20,2268;3,97789;0,00161006;3,59658;9,00073;+
Q17569(130);22,3428;23,8477;23,9278;24,8334;24,8256;24,8452;25,6526;24,8812;1,25671;0,104055;-1,31323;-2,37197;
Q17569(203);24,9865;26,0323;23,5669;24,3237;24,5951;25,0989;24,8574;26,5858;0,348192;0,525473;-0,55695;-0,810596;
Q17571(277);24,0489;26,4203;23,2987;26,4098;20,1287;19,9121;20,591;20,6305;2,91194;0,00522807;4,72884;5,73145;+
Q17571(282);19,7306;20,4217;18,2949;19,5266;19,5858;19,5384;20,2825;21,511;0,533272;0,380684;-0,735986;-1,15263;
Q17606(61);20,2896;20,4115;20,0688;19,1832;21,8936;20,9889;21,0317;20,5705;1,55488;0,0618164;-1,13286;-2,88516;
Q17624(62);26,2562;24,6261;24,7038;26,037;27,9825;26,7302;25,1304;24,8994;0,408626;0,470016;-0,779863;-0,92578;
Q17624(63);25,1882;23,6325;23,3619;24,6906;22,3674;22,3524;21,9361;23,726;1,49969;0,0678405;1,62277;2,78838;
Q17624(343);24,6813;25,3426;23,5638;25,3052;27,6927;27,0065;26,3126;24,0815;0,883154;0,208922;-1,55012;-1,749;
Q17624(363);18,946;21,232;18,4192;21,6626;26,4395;24,5517;25,5504;25,7174;3,06103;0,00479397;-5,49976;-6,12029;+
Q17624(254);19,8584;20,7482;18,5249;20,6918;22,989;24,5385;23,1191;24,5969;2,89167;0,00559483;-3,85505;-5,68003;+
Q17624(365);20,4665;20,0004;18,9724;19,8876;20,4185;19,0324;19,6291;21,9538;0,246093;0,619072;-0,426718;-0,604867;
Q17624(495);17,7622;19,6787;20,9538;17,2108;24,3203;25,0744;24,1845;25,6499;3,14592;0,00403217;-5,90588;-6,35045;+
Q17644(166);20,4581;21,1558;18,8079;18,5883;21,1174;20,8486;19,3571;19,6293;0,260745;0,602675;-0,485568;-0,635432;
Q17649(213);19,4474;21,7839;19,859;20,0514;17,7151;20,9012;20,8021;19,858;0,205197;0,670238;0,466293;0,517308;
Q17649(225);23,3924;23,3488;24,6583;24,2331;24,1845;23,942;21,7326;25,1921;0,0648645;0,882288;0,145377;0,182418;
Q17649(228);19,721;20,1877;19,2543;20,5074;18,9756;20,2307;21,6895;19,2009;0,0554972;0,897502;-0,106537;-0,157469;
Q17663(472);21,488;18,9235;20,9654;19,7919;19,1915;19,2997;19,6569;19,8615;0,62888;0,32272;0,789787;1,31978;
Q17663(511);19,996;21,7591;18,9302;20,203;23,1396;24,4309;27,0594;23,3491;2,13887;0,022032;-4,27268;-3,9824;+
Q17693(560);20,1822;20,3487;18,3494;19,6557;21,5695;21,3251;19,556;20,4845;0,860219;0,216638;-1,0998;-1,71079;
Q17698(147);25,4271;25,527;26,1869;26,3438;23,2249;21,6715;26,999;23,4325;0,89792;0,203997;2,03925;1,77357;
Q17698(84);26,4381;25,19;26,1427;26,2526;19,6891;19,663;19,4901;20,2445;5,90069;0;6,23422;19,2882;+
Q17698(106);19,7503;20,6404;19,9059;18,4514;18,4588;19,9591;20,4782;20,9909;0,153168;0,735694;-0,284741;-0,400297;
Q17698(129);19,7207;19,5534;19,6932;21,4313;21,8985;19,0675;20,0455;18,1099;0,129981;0,76851;0,319315;0,345733;
Q17698(107);21,0582;20,8789;20,1785;20,1761;20,532;20,0433;19,4282;19,0891;1,0473;0,153724;0,799769;2,02176;
Q17698(81);18,2528;20,7442;19,5676;19,0226;20,1858;21,8565;21,3033;19,3282;0,823167;0,230593;-1,27167;-1,64893;
Q17698(71);23,7422;25,1133;23,7823;23,6934;20,3783;19,3226;20,0064;19,0255;4,11225;0,00191045;4,39964;9,50684;+
