ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
A5JYU1;13,476;12,7689;13,8219;14,614;13,8976;14,4276;14,0451;15,0324;0,723289;0,066242;-0,680465;-1,481;
A5JYU5;12,5602;12,3151;12,2945;12,6769;14,0474;14,4321;14,173;14,6315;4,59643;0;-1,85932;-11,5503;+
A5JYW3;15,3257;15,6399;17,1606;15,416;17,6768;17,0138;15,8545;19,0372;0,97893;0,0313523;-1,51003;-1,90819;+
A5JYW9;12,5811;12,1598;12,2891;12,5239;17,9372;18,0293;17,74;16,5773;5,2176;0;-5,18249;-14,7681;+
A5JYX3;14,1905;16,2219;13,8397;14,1991;16,2607;15,5756;15,7103;17,1084;1,27636;0,013934;-1,55095;-2,40515;+
A5JYX4;16,4057;15,9904;16,0572;16,7434;16,1222;17,1768;16,7072;17,5146;0,834061;0,0477549;-0,58103;-1,66714;+
A5JYX8;15,9855;15,3394;15,6624;15,4951;15,692;16,2532;15,8641;17,5102;0,816023;0,0499263;-0,709255;-1,63698;+
A5PEY0;14,2317;14,3043;13,7684;14,6968;16,3432;17,7678;16,7697;16,901;3,57031;0;-2,69511;-7,60613;+
A5Z2S2;15,364;14,1927;15,3127;14,3967;14,2618;14,3444;13,9971;14,8109;0,634332;0,0863867;0,462991;1,32917;
A5Z2S4;14,8388;14,5853;14,2474;15,1382;14,0547;14,2941;16,4338;14,4957;0,0726503;0,723846;-0,117129;-0,202845;
A5Z2S9;12,5417;12,0897;12,1998;12,6929;14,2695;12,9083;14,119;13,8433;2,23173;0,00116588;-1,40401;-4,17207;+
A5Z2T6;13,6089;13,9373;14,5194;14,0003;14,3655;14,2836;14,2186;14,6125;0,858076;0,0443976;-0,353596;-1,70722;+
A5Z2T7;12,5743;12,0579;12,061;11,8722;14,4661;13,9806;14,3874;13,5701;3,58796;0;-1,9597;-7,66243;+
A5Z2T9;16,21;14,6906;15,3106;16,1186;16,8455;17,0401;17,0017;18,2177;1,91084;0,00257185;-1,69381;-3,53595;+
A5Z2U5;13,5618;13,8819;13,8849;13,8269;14,2037;14,2535;14,2594;15,0751;1,59395;0,0057612;-0,659067;-2,95427;+
A5Z2U8;14,4908;13,788;13,5039;13,7218;14,3055;14,4426;13,4924;14,4603;0,422793;0,170398;-0,299092;-0,952221;
A5Z2U9;17,1722;16,9819;16,6733;17,5439;18,5721;18,008;18,6024;18,7602;2,88993;0,000219144;-1,39285;-5,67564;+
A5Z2V2;12,8166;13,2401;13,54;13,1034;14,157;14,3245;14,4457;14,2892;3,36875;0;-1,12911;-6,98691;+
A5Z2V3;13,872;13,0346;13,0146;13,9005;13,3297;13,8143;14,4396;15,0292;0,773039;0,0570269;-0,697744;-1,56491;
A5Z2V7;14,8648;14,9753;15,0833;14,927;15,6673;15,4918;15,6503;15,7946;3,95049;0;-0,6884;-8,9005;+
A5Z2W3;16,8461;16,1326;16,3792;16,1223;14,1632;14,0152;13,9331;15,0071;3,36537;0;2,09038;6,97687;+
A5Z2W6;15,4596;14,9247;15,4581;16,141;13,784;13,6488;14,391;15,1275;1,6185;0,00531839;1,25803;2,99797;+
