Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
D0PV95,19.5823,20.096,20.1322,20.3444,21.7354,21.0298,21.0726,19.4831
D0Z5P0,20.2458,18.8091,20.3924,18.9351,21.6852,20.0233,21.2088,21.325
D0Z5P0,21.3789,21.5513,21.9157,21.5353,20.8272,21.215,21.1002,21.0753
D0Z5P0,21.3433,21.3339,22.127,22.7844,24.0986,26.7054,25.8866,26.2077
Q22832,19.8751,21.241,19.5493,18.5249,21.5334,21.2143,21.0244,21.3546
Q22832,19.348,17.1456,20.6451,19.7882,21.6843,21.1874,21.291,21.3982
Q22832,24.8869,23.7701,25.6387,25.1417,26.2281,24.2209,23.5277,25.3317
Q8WQB8,23.4443,23.6253,24.1386,23.6197,21.7144,20.8788,20.2655,19.9798
D3NQB5,18.254,20.9611,19.0671,20.1875,21.7707,20.2087,19.9619,20.6796
D3YT77,17.3798,17.1247,20.9992,19.0978,23.9252,26.2417,25.21,21.5748
D3YT77,19.3181,20.814,19.8466,19.5324,25.2045,25.3242,26.9926,24.6673
D4YWC3,18.2902,18.6151,18.8924,17.4355,23.4471,23.236,22.3357,24.3212
D4YWC3,21.3433,18.9633,21.9357,18.6676,26.1486,24.729,26.4932,24.6939
D4YWC3,19.0474,18.9917,20.9751,18.6871,21.2551,21.134,20.2117,20.8292
D4YWC3,19.9255,21.2079,20.7915,19.7067,25.1034,23.7483,24.1176,24.3313
D4YWC3,20.6749,19.2268,21.3645,19.768,27.0011,24.2437,22.6588,24.0646
D4YWC3,19.5703,20.7599,18.7343,19.4895,24.1467,22.0862,22.4634,21.6024
D4YWC3,20.5029,18.008,19.7139,19.4237,23.9747,23.3692,22.7418,24.0278
D5MCN2,19.6774,17.7611,20.4562,18.0478,21.8316,21.2538,21.1218,21.4122
D5MCQ2,20.3431,18.836,20.4494,18.8296,23.1296,22.6294,22.4313,21.2239
O17698,20.5043,18.6634,19.8905,18.8026,26.5099,25.2543,25.859,26.0455
D5SGZ9,17.2061,18.8926,21.3559,19.6515,21.7111,20.7889,20.7596,20.3285
D5SGZ9,19.0659,20.1856,20.0463,20.0782,21.7952,21.0573,21.2985,20.4663
D5SGZ9,18.409,17.3312,20.374,21.2649,21.5747,20.6961,20.9236,20.3155
D6R8W5,16.9145,21.0671,19.7902,19.9898,21.8517,21.0001,20.7294,21.0364
D6VPA0,24.254,24.451,25.0909,24.6364,20.774,21.017,21.3026,19.7973
D7SFI3,22.702,23.4507,23.2884,23.3957,21.5655,21.2001,21.2905,20.7814
D7SFI3,19.3464,18.8299,21.5682,19.7615,24.8145,23.4559,23.2579,24.449
D7SFI3,24.8431,24.5372,24.736,23.4621,21.4772,21.2111,20.2224,21.349
D7SFP5,17.316,19.3453,20.5723,18.9186,22.8341,20.879,21.7307,22.9202
D7SFP5,18.7795,20.3703,21.4042,17.575,23.7972,21.8044,20.9752,20.0429
D7UU24,25.0775,24.6164,24.0163,23.8831,21.2155,20.9823,19.5324,20.6371
D7UU24,18.4199,20.8181,18.6748,18.992,21.7015,20.6867,21.0361,21.1399
Q9U3I3,18.0398,20.4525,21.3886,18.2605,19.7537,20.6124,19.7965,21.0287
D9PTP5,18.3186,17.5463,17.6194,18.7692,20.9854,21.139,20.4305,20.885
D9PTP5,20.3473,21.8027,19.0192,18.0245,21.0897,21.2598,20.6239,21.0372
D9PTP5,16.8164,16.7269,20.5958,20.2593,21.9736,19.0382,19.7984,21.4174
E0AHE1,18.8237,20.9513,19.1148,17.5584,23.0378,22.2929,21.3316,23.422
Q20396,24.5042,25.4718,25.8326,25.4954,21.2421,20.6982,20.0234,20.8198
E1B6S4,19.4713,19.2084,19.5274,17.75,21.2369,21.1883,20.6177,19.776
E1B6U2,25.3326,26.0886,26.2348,26.3466,23.7337,22.7506,23.1413,24.8095
E1B6W0,25.6465,26.235,26.1397,26.4432,28.4906,26.3204,26.076,26.9407
E3W743,23.2114,22.83,23.117,22.1776,24.985,22.6477,23.868,23.027
E3W743,18.4966,17.7621,18.1747,20.321,23.7183,23.9432,22.4888,22.3484
E3W743,18.4288,19.072,21.0074,19.2332,24.1762,24.6532,23.4134,24.4509
E3W743,18.6748,18.9115,20.0162,19.8909,21.934,20.8901,21.1401,20.4977
E3W743,21.5741,19.1829,19.0189,19.0798,20.4669,21.1184,20.1245,20.434
E3W743,20.943,20.6478,21.0941,17.8612,22.728,22.3632,20.5756,21.7667
E3W743,19.66,19.664,18.7326,18.5579,21.1771,21.106,20.6168,20.897
E3W743,20.7476,20.9904,21.895,20.7203,24.2037,24.099,23.4733,23.228
E3W743,19.9632,21.54,18.0871,18.4275,24.9687,23.8218,23.6173,23.7432
E3W743,17.9807,17.0455,18.2353,18.6324,21.3791,20.9886,21.2272,20.7153
E3W743,19.4252,15.8617,19.0153,20.4825,23.5428,24.3677,25.1857,24.6602
E3W743,16.5367,17.8332,21.1235,21.3923,24.7024,25.561,24.5443,24.7651
E3W743,21.3221,19.3798,21.4137,17.605,30.0732,24.9371,23.2674,25.7456
E3W743,19.9615,18.1723,19.5963,17.2766,20.6848,19.1646,20.6873,20.2848
E3W759,20.0788,20.7305,19.1967,19.1866,20.7457,20.5547,20.4427,21.0517
Q21162,17.9611,17.5575,20.6773,21.3504,20.2162,20.6708,20.5076,21.3933
Q21162,19.3718,19.4112,19.9417,19.7932,19.8448,21.2386,21.3443,20.9466
Q21162,19.2415,19.4902,18.3689,16.9741,23.8383,22.9363,23.2485,24.5673
Q21162,21.7305,22.3028,23.21,22.4261,25.148,23.8594,25.9054,21.9546
F5GU98,17.801,20.5786,19.6375,17.3511,24.5464,24.2456,23.7088,22.8311
F5GU98,30.2329,29.8678,28.1936,28.7083,29.7917,26.7292,27.6593,27.3145
F5GU98,19.4784,15.8816,20.0075,16.4658,25.277,24.0358,21.2253,22.8006
F5GU98,21.9424,21.0944,23.4222,20.3867,23.7267,22.6404,25.1216,22.5127
F5GU98,20.629,19.5207,19.2296,19.4638,25.1966,23.5161,25.2979,22.9145
F5GUH0,19.8911,17.59,21.3521,20.1659,26.6805,24.6702,26.1119,24.1857
