Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
G3MU14;27,3293;28,4832;27,7707;28,5304;28,3806;29,628;0,887566;0,1201;-0,985293;-1,90461;
G3MU38;33,5732;34,1651;34,1968;33,6325;33,5396;33,9764;0,468077;0,363879;0,262193;1,08143;
G3MU66;29,719;29,6065;29,9509;28,0389;26,7952;29,3436;1,07564;0,0730579;1,69953;2,28829;
G3MU81;27,1261;27,0832;27,2545;26,5;27,6159;28,0817;0,199466;0,757099;-0,244594;-0,51809;
G3MU88;25,8524;28,8509;28,7704;29,5745;28,9688;30,2323;0,774281;0,157686;-1,76729;-1,68049;
G4RYA5;26,6132;26,5958;26,5857;26,5044;26,1872;26,1641;1,33074;0,0433185;0,313007;2,84367;+
G4S034;33,2678;32,9279;32,8518;32,8311;32,5661;32,5708;1,09146;0,0702188;0,359843;2,32142;
G4S4A1;29,5186;29,5237;24,7279;29,0872;29,9396;29,9184;0,458987;0,374048;-1,72501;-1,06338;
G4SF79;30,2837;30,1021;30,3697;31,1103;31,1778;31,089;3,33094;0,00187179;-0,873847;-10,4908;+
G4SI07;30,3984;31,0632;30,9743;30,9169;31,3284;30,3344;0,0461069;0,941893;-0,047959;-0,134806;
G4SKK4;24,8239;26,3117;25,3001;25,2864;26,6887;26,0058;0,359594;0,498063;-0,515025;-0,862767;
G5EER0;31,5472;31,4669;31,2774;30,4305;31,0465;30,6981;1,64662;0,0246301;0,70545;3,60974;+
G4SLH0;24,1332;24,1178;24,1125;26,2054;28,1961;27,3008;2,24691;0,0109918;-3,11296;-5,40757;+
G5EBF3;29,4853;29,3253;29,4993;30,1337;30,655;30,0053;1,79687;0,0188185;-0,827984;-4,01248;+
G5EBF4;29,6488;28,1724;28,6334;27,9516;28,7794;28,6945;0,269678;0,643678;0,343065;0,673695;
G5EBF5;26,6637;26,4961;26,6183;24,5297;24,4974;24,2889;4,73292;0;2,15405;23,7954;+
G5EBH3;28,1464;27,9209;28,025;27,1216;28,0932;26,8153;0,814435;0,142911;0,687396;1,75949;
G5EBH7;31,8121;30,2117;30,8643;32,1006;32,1231;32,2422;1,20106;0,0557837;-1,19261;-2,55542;
G5EBI0;29,2174;29,6644;29,1768;31,3091;30,7641;30,6548;2,43419;0,00843614;-1,55645;-6,08838;+
G5EBJ8;33,4211;33,4851;33,8653;33,5039;33,6344;34,057;0,259122;0,662154;-0,14123;-0,650827;
G5EES2;31,5236;31,7978;31,8425;30,9128;31,5519;31,6607;0,612372;0,23882;0,346189;1,3645;
G5EBL8;30,3105;30,1873;30,3648;29,8925;30,5533;30,4615;0,0233314;0,970176;-0,0148869;-0,0698107;
G5EBN9;27,8692;27,6518;27,6431;27,1771;27,5315;27,3356;1,37837;0,0405871;0,37327;2,95301;+
G5EEP9;30,3488;31,2686;31,3431;31,1079;30,5584;30,4956;0,287214;0,613918;0,266224;0,711332;
G5EBP5;31,8473;31,3838;31,748;27,2183;30,3588;29,7833;1,22297;0,0538417;2,53959;2,60322;
G5EBR1;30,827;30,9763;30,9246;30,5111;30,6645;30,6645;1,93116;0,0157899;0,29595;4,39709;+
G5EBT3;30,6267;30,1293;31,5075;30,2549;31,0048;31,0534;0,0113834;0,985338;-0,016517;-0,0345027;
G5EBU3;25,1019;24,2487;24,4969;25,861;24,7174;25,2153;0,710739;0,183104;-0,648739;-1,55617;
G5EBU8;28,8931;28,7048;28,8223;25,0452;25,8853;25,4083;3,75592;0,000923077;3,36045;13,4764;+
Q965J2;24,9128;26,0151;24,9821;25,8667;27,3761;27,1012;1,18725;0,0568836;-1,47799;-2,52548;
G5EBY0;27,3536;26,9524;27,1859;26,5213;28,0555;27,5938;0,183859;0,780894;-0,226213;-0,48222;
