Proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
B9ZSG9,19.2492,21.4031,20.1159,21.6253,24.3338,23.6515,23.0454,23.8972
C1P636,19.3069,20.02,20.2565,18.1938,28.1348,25.807,25.7378,25.8324
C1P636,19.9231,20.8242,19.1974,20.7405,22.5634,21.3879,19.6426,22.1402
C1P636,29.0672,29.0811,26.665,28.3934,29.5716,26.7085,28.3355,27.7339
C1P636,24.2992,24.5216,22.8176,21.8888,21.3669,20.2532,21.2229,21.4144
C1P636,23.1656,24.346,23.0557,21.3466,24.762,24.5635,24.3927,23.9698
C6KRI9,20.5404,19.9961,19.447,21.0194,22.3659,22.2663,24.2502,22.3208
C6KRJ1,25.8227,24.1202,22.8888,23.3619,21.2626,20.6756,20.0427,20.9836
C6KRJ1,20.4345,20.0403,21.2073,19.0621,20.3283,20.404,21.1907,20.1934
C6KRL2,18.5006,18.7205,21.3008,19.9102,23.0431,21.9074,21.3555,20.478
C6KRL2,23.4956,24.7054,24.6075,27.8132,20.8562,20.5113,21.1452,21.3433
C6KRL2,19.3605,18.5214,20.1183,21.3487,20.182,20.4313,20.6707,21.3595
C6KRN1,20.1329,17.7984,19.8138,19.1514,21.2271,21.1854,21.1812,20.6375
C6KRN1,20.8556,18.1967,20.8979,20.3967,24.1883,22.7178,21.1276,23.7962
C7GIK1,23.5984,23.4143,23.2184,24.3659,23.6246,22.9265,23.0686,21.6752
D0IMZ5,19.2979,19.2886,19.6966,19.6906,20.3637,20.2484,20.6917,21.2716
D0IMZ5,19.5925,16.6559,21.1961,19.1623,21.7987,20.5935,20.77,20.7443
D0PV95,18.8704,21.7591,20.52,18.4742,21.7354,21.0298,21.0726,19.4831
D0Z5P0,20.5393,20.9306,21.6536,21.1374,21.6852,20.0233,21.2088,21.325
D0Z5P0,20.1201,21.1421,19.0406,18.0569,20.8272,21.215,21.1002,21.0753
D0Z5P0,19.8864,19.7668,21.1806,16.021,24.0986,26.7054,25.8866,26.2077
Q22832,24.0439,23.8433,25.3622,24.9494,21.5334,21.2143,21.0244,21.3546
Q22832,19.7646,17.9543,20.127,21.2347,21.6843,21.1874,21.291,21.3982
Q22832,25.3624,25.2572,25.1702,23.4636,26.2281,24.2209,23.5277,25.3317
Q8WQB8,18.4305,20.9784,19.6773,20.6198,21.7144,20.8788,20.2655,19.9798
D3NQB5,23.4123,24.1932,22.8003,21.5,21.7707,20.2087,19.9619,20.6796
D3YT77,19.3097,18.3441,18.0231,20.7098,23.9252,26.2417,25.21,21.5748
D3YT77,21.7809,22.3597,22.0871,25.3584,25.2045,25.3242,26.9926,24.6673
D4YWC3,23.8583,21.5727,23.4534,24.4968,23.4471,23.236,22.3357,24.3212
D4YWC3,20.9687,18.2309,18.6762,20.0852,26.1486,24.729,26.4932,24.6939
D4YWC3,21.6598,18.83,21.4326,19.1028,21.2551,21.134,20.2117,20.8292
D4YWC3,19.5009,19.2418,20.1568,19.9743,25.1034,23.7483,24.1176,24.3313
D4YWC3,22.4403,21.7384,23.933,21.8328,27.0011,24.2437,22.6588,24.0646
D4YWC3,21.0613,17.9171,20.3933,21.3056,24.1467,22.0862,22.4634,21.6024
D4YWC3,18.6294,18.1736,18.6854,19.27,23.9747,23.3692,22.7418,24.0278
D5MCN2,20.6012,18.8223,19.3996,21.9045,21.8316,21.2538,21.1218,21.4122
D5MCQ2,21.3981,22.3766,22.0579,20.421,23.1296,22.6294,22.4313,21.2239
O17698,20.2875,19.6054,21.3499,18.9482,26.5099,25.2543,25.859,26.0455
D5SGZ9,19.6164,20.7472,18.8844,19.2969,21.7111,20.7889,20.7596,20.3285
D5SGZ9,19.8607,21.7844,19.5964,17.5752,21.7952,21.0573,21.2985,20.4663
D5SGZ9,20.7988,21.0275,19.3295,18.8729,21.5747,20.6961,20.9236,20.3155
D6R8W5,21.4353,19.3251,21.4841,18.4386,21.8517,21.0001,20.7294,21.0364
D6VPA0,22.0731,22.3152,22.4858,22.2023,20.774,21.017,21.3026,19.7973
D7SFI3,21.8938,17.2162,21.0041,19.49,21.5655,21.2001,21.2905,20.7814
D7SFI3,24.4046,24.112,23.997,23.4052,24.8145,23.4559,23.2579,24.449
D7SFI3,21.9387,21.7323,19.3936,19.951,21.4772,21.2111,20.2224,21.349
D7SFP5,19.7503,20.4103,21.265,20.8852,22.8341,20.879,21.7307,22.9202
D7SFP5,16.4054,18.4077,21.2229,20.6242,23.7972,21.8044,20.9752,20.0429
D7UU24,19.7748,19.8578,19.3836,19.3676,21.2155,20.9823,19.5324,20.6371
D7UU24,21.6993,19.5355,17.6714,20.4648,21.7015,20.6867,21.0361,21.1399
Q9U3I3,20.0896,19.7406,19.8324,20.4793,19.7537,20.6124,19.7965,21.0287
D9PTP5,19.9042,18.9178,16.2128,17.788,20.9854,21.139,20.4305,20.885
D9PTP5,20.4092,19.2159,19.3386,18.297,21.0897,21.2598,20.6239,21.0372
D9PTP5,19.6739,20.1947,19.1326,21.3461,21.9736,19.0382,19.7984,21.4174
E0AHE1,23.0031,22.3217,24.0063,24.4271,23.0378,22.2929,21.3316,23.422
Q20396,26.2846,24.8903,25.8383,25.5543,21.2421,20.6982,20.0234,20.8198
E1B6S4,21.5491,22.9226,24.871,22.5627,21.2369,21.1883,20.6177,19.776
E1B6U2,23.929,24.0364,25.0964,23.1027,23.7337,22.7506,23.1413,24.8095
E1B6W0,28.5413,28.261,26.5334,22.6261,28.4906,26.3204,26.076,26.9407
E3W743,19.4698,19.407,19.8275,17.5268,24.985,22.6477,23.868,23.027
E3W743,20.0074,19.5519,17.5674,20.1372,23.7183,23.9432,22.4888,22.3484
E3W743,20.0883,21.5449,20.3009,19.5996,24.1762,24.6532,23.4134,24.4509
E3W743,18.2948,17.7425,18.9372,20.7214,21.934,20.8901,21.1401,20.4977
E3W743,20.0467,21.0779,19.7661,20.8193,20.4669,21.1184,20.1245,20.434
E3W743,21.3542,19.4475,18.4206,21.3112,22.728,22.3632,20.5756,21.7667
E3W743,19.6761,20.3826,19.1973,18.5781,21.1771,21.106,20.6168,20.897
E3W743,19.756,21.5578,19.0442,19.5797,24.2037,24.099,23.4733,23.228
E3W743,24.9955,23.1551,25.5042,22.7257,24.9687,23.8218,23.6173,23.7432
E3W743,20.4887,20.0819,19.0151,19.1537,21.3791,20.9886,21.2272,20.7153
E3W743,21.0101,20.7695,19.9182,20.6416,23.5428,24.3677,25.1857,24.6602
E3W743,24.619,24.5307,24.2829,21.9412,24.7024,25.561,24.5443,24.7651
E3W743,17.693,20.8738,20.3564,19.5591,30.0732,24.9371,23.2674,25.7456
E3W743,20.1254,19.8166,20.7007,19.3465,20.6848,19.1646,20.6873,20.2848
E3W759,20.9392,20.129,21.0024,19.7439,20.7457,20.5547,20.4427,21.0517
Q21162,20.8982,19.6229,19.7787,20.8728,20.2162,20.6708,20.5076,21.3933
Q21162,20.3904,19.6184,18.7218,20.7842,19.8448,21.2386,21.3443,20.9466
Q21162,27.0644,26.1601,23.7526,25.3785,23.8383,22.9363,23.2485,24.5673
Q21162,24.6941,23.3203,22.6984,25.1834,25.148,23.8594,25.9054,21.9546
F5GU98,27.0809,25.4645,23.4729,22.9605,24.5464,24.2456,23.7088,22.8311
F5GU98,30.9591,30.2948,28.2682,29.8961,29.7917,26.7292,27.6593,27.3145
F5GU98,25.3941,24.5854,26.4025,23.3723,25.277,24.0358,21.2253,22.8006
F5GU98,18.6861,18.8268,20.0567,20.0492,23.7267,22.6404,25.1216,22.5127
F5GU98,18.4593,18.1113,19.8684,20.0161,25.1966,23.5161,25.2979,22.9145
F5GUH0,19.3909,18.9897,19.9869,18.8528,26.6805,24.6702,26.1119,24.1857
F5GUH0,23.1278,23.3311,21.8899,21.1776,23.7031,23.1508,24.3396,22.4573
F5GUH0,21.5083,20.5109,20.4935,20.2051,24.0732,22.7917,21.2644,24.1433
F5GUH5,19.5375,20.9479,20.4123,17.4598,21.3984,20.6689,20.5335,20.9693
F5GUH5,22.6418,22.1889,22.694,23.9997,21.8907,21.2337,20.9863,21.3682
F5GUH5,20.5658,19.7671,19.987,19.5756,21.3749,20.7821,20.9764,20.2108
F5GUH5,23.2363,22.515,23.1371,23.6215,24.0567,23.2948,24.5214,24.3777
F5GUH5,24.5193,23.2254,22.3751,25.3901,21.9374,19.1751,19.8012,20.9531
F5GUH5,18.2586,21.1681,17.886,21.283,23.5061,24.246,23.7373,25.7784
F5GUH5,21.46,19.4497,20.4328,19.4021,21.6497,20.4995,20.9559,21.1223
F5GUH5,20.0819,20.4092,21.3217,21.2655,21.4328,20.4669,21.2464,20.2673
F5GUH5,19.8339,21.0678,19.5667,19.569,22.3574,19.575,21.8547,22.3802
F5GUH5,19.7619,20.4334,19.9032,19.1691,21.089,20.8356,21.1954,21.2325
F5GUH5,20.2409,20.0189,20.2749,20.0735,21.6825,21.1707,20.4599,20.6835
F5GUH5,20.3171,19.7158,19.5914,20.5238,21.8422,21.2411,21.3886,20.6323
F5GUH5,19.388,19.3537,19.3861,21.0336,20.7908,20.8976,20.975,20.2643
F5GUH5,18.3745,19.6509,20.3413,18.3072,23.705,24.1023,26.0372,25.9535
F5GUH5,21.36,18.7137,20.6125,21.4307,23.1101,22.2412,23.1256,23.212
F5GUH5,23.5736,24.1937,23.8737,27.0151,20.806,21.0234,21.0423,21.2626
F5GUH5,19.3578,21.7353,19.9574,18.787,20.2983,19.8742,21.1892,21.1874
F5GUH5,20.6793,19.4896,20.0397,20.6349,27.1384,23.1634,23.8897,23.9181
F5GUH5,20.3573,20.4227,19.8166,19.3413,21.2811,20.2822,21.0017,20.9653
F5GUH5,19.4498,21.7505,18.9672,18.4686,21.7775,20.4233,20.4673,20.9298
F5GUH5,19.3317,19.9094,21.0387,21.478,21.8736,20.2303,20.0805,21.1189
F5GUH5,19.7478,20.2371,19.9606,21.8212,23.3975,21.5198,20.7532,23.0273
F5GUH5,17.1606,19.2172,19.7994,19.4629,22.6124,24.865,23.3004,25.0635
F5GUH5,21.9835,17.8418,20.3553,21.1664,21.2699,20.4666,21.1603,21.1011
F5GUH5,24.6384,22.5866,22.2145,24.7368,23.8333,22.9623,21.863,23.168
F5GUH5,20.1652,18.7826,20.4322,19.1907,20.8217,19.8178,20.7708,21.2671
F5GUH5,20.6266,18.0197,20.7001,19.9462,20.4513,20.9661,20.9726,21.2039
F5GUH5,30.3155,30.4575,27.9955,30.4557,24.644,22.4074,23.5112,24.346
F5GUH5,21.2619,20.3575,20.1667,21.0832,23.7405,21.5219,21.4524,22.4193
F5GUH5,21.8388,19.8537,18.5224,19.157,21.0482,21.2269,21.3298,20.3456
F5GUH5,22.9495,21.7835,21.0992,22.6169,21.4053,20.4489,20.4571,20.8539
F5GUH5,20.132,19.4976,20.1909,19.7235,20.0343,19.5597,20.9498,20.2725
F5GUH5,20.9535,18.3628,20.4228,21.8979,20.0233,20.7507,20.8344,21.2302
F5GUH5,18.5039,20.0466,19.8599,19.085,22.7516,23.6564,22.3388,24.4357
F5GUH5,19.5146,20.557,19.3573,19.4604,21.2862,19.8779,19.6939,21.3131
G1K0V8,21.4704,17.7626,17.6638,17.1825,23.537,21.7755,21.9146,23.141
G1K0V8,21.0907,20.1917,19.918,20.7064,22.4765,21.7755,21.5306,22.4683
Q1ZXU6,27.7863,27.1907,25.4251,27.1543,22.6716,21.889,22.4766,21.6801
G3MU14,23.9174,22.9295,22.9544,19.6968,24.801,23.3667,23.667,25.0094
G3MU81,24.5105,24.4297,23.8688,23.8909,20.9629,20.3044,21.3689,21.36
G3MU88,21.0901,20.9394,19.8595,19.3134,21.2546,20.1613,20.3148,21.2347
G3MU88,19.3226,19.5512,19.4274,17.0984,24.3267,22.988,23.4645,23.2543
G4RTI0,20.6539,17.3072,19.706,17.1653,24.3429,26.0069,24.3631,23.9923
G4S034,20.3312,19.4854,18.7793,20.0732,24.7836,24.1942,23.828,23.7543
G4S034,18.8935,20.8898,20.9171,21.3071,23.7123,21.0194,19.3605,20.6747
G4S034,24.1211,23.4561,25.2415,23.6366,22.3641,21.468,20.2732,21.5622
G4S034,20.5526,19.6342,21.1369,21.7295,21.9004,21.1706,21.1109,20.0571
G4S1A4,23.2458,23.8072,24.1225,23.0268,24.652,23.9635,23.1566,23.1543
