geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
;C6KRL2,19.3605,18.5214,20.1183,21.3487,19.4769,19.7259,20.5111,18.3891
sao-1;C6KRN1,20.1329,17.7984,19.8138,19.1514,19.9763,19.5928,20.3653,19.8188
sao-1;C6KRN1,20.8556,18.1967,20.8979,20.3967,18.4955,19.5373,21.2587,17.2448
;C7GIK1,23.5984,23.4143,23.2184,24.3659,20.3252,19.5685,21.0744,20.6322
fln-1;D0IMZ5;U4PM01,19.2979,19.2886,19.6966,19.6906,19.4306,20.9576,17.2759,19.339
fln-1;D0IMZ5;U4PM01,19.5925,16.6559,21.1961,19.1623,20.221,19.4202,20.1358,19.5461
laf-1;D0PV95,18.8704,21.7591,20.52,18.4742,19.5823,20.096,20.1322,20.3444
sql-1;D0Z5P0,20.5393,20.9306,21.6536,21.1374,20.2458,18.8091,20.3924,18.9351
sql-1;D0Z5P0,20.1201,21.1421,19.0406,18.0569,21.3789,21.5513,21.9157,21.5353
sql-1;D0Z5P0,19.8864,19.7668,21.1806,16.021,21.3433,21.3339,22.127,22.7844
;Q22832,24.0439,23.8433,25.3622,24.9494,19.8751,21.241,19.5493,18.5249
;Q22832,19.7646,17.9543,20.127,21.2347,19.348,17.1456,20.6451,19.7882
;Q22832,25.3624,25.2572,25.1702,23.4636,24.8869,23.7701,25.6387,25.1417
;Q8WQB8,18.4305,20.9784,19.6773,20.6198,23.4443,23.6253,24.1386,23.6197
tag-349;D3NQB5,23.4123,24.1932,22.8003,21.5,18.254,20.9611,19.0671,20.1875
cfp-1;D3YT77,19.3097,18.3441,18.0231,20.7098,17.3798,17.1247,20.9992,19.0978
cfp-1;D3YT77,21.7809,22.3597,22.0871,25.3584,19.3181,20.814,19.8466,19.5324
dct-16;D4YWC3;Q9XX57,23.8583,21.5727,23.4534,24.4968,18.2902,18.6151,18.8924,17.4355
dct-16;D4YWC3;Q9XX57,20.9687,18.2309,18.6762,20.0852,21.3433,18.9633,21.9357,18.6676
dct-16;D4YWC3;Q9XX57,21.6598,18.83,21.4326,19.1028,19.0474,18.9917,20.9751,18.6871
dct-16;D4YWC3;Q9XX57,19.5009,19.2418,20.1568,19.9743,19.9255,21.2079,20.7915,19.7067
dct-16;D4YWC3;Q9XX57,22.4403,21.7384,23.933,21.8328,20.6749,19.2268,21.3645,19.768
dct-16;D4YWC3;Q9XX57,21.0613,17.9171,20.3933,21.3056,19.5703,20.7599,18.7343,19.4895
dct-16;D4YWC3;Q9XX57,18.6294,18.1736,18.6854,19.27,20.5029,18.008,19.7139,19.4237
larp-1;D5MCN2,20.6012,18.8223,19.3996,21.9045,19.6774,17.7611,20.4562,18.0478
sup-26;D5MCQ2,21.3981,22.3766,22.0579,20.421,20.3431,18.836,20.4494,18.8296
;O17698,20.2875,19.6054,21.3499,18.9482,20.5043,18.6634,19.8905,18.8026
mdt-9;D5SGZ9,19.6164,20.7472,18.8844,19.2969,17.2061,18.8926,21.3559,19.6515
mdt-9;D5SGZ9,19.8607,21.7844,19.5964,17.5752,19.0659,20.1856,20.0463,20.0782
mdt-9;D5SGZ9,20.7988,21.0275,19.3295,18.8729,18.409,17.3312,20.374,21.2649
nstp-10;C50F4.14;D6R8W5,21.4353,19.3251,21.4841,18.4386,16.9145,21.0671,19.7902,19.9898
math-38;D6VPA0,22.0731,22.3152,22.4858,22.2023,24.254,24.451,25.0909,24.6364
;D7SFI3,21.8938,17.2162,21.0041,19.49,22.702,23.4507,23.2884,23.3957
gsto-1;D7SFI3;P34345,24.4046,24.112,23.997,23.4052,19.3464,18.8299,21.5682,19.7615
;D7SFI3,21.9387,21.7323,19.3936,19.951,24.8431,24.5372,24.736,23.4621
;D7SFP5,19.7503,20.4103,21.265,20.8852,17.316,19.3453,20.5723,18.9186
;D7SFP5,16.4054,18.4077,21.2229,20.6242,18.7795,20.3703,21.4042,17.575
cup-5;D7UU24,19.7748,19.8578,19.3836,19.3676,25.0775,24.6164,24.0163,23.8831
cup-5;D7UU24,21.6993,19.5355,17.6714,20.4648,18.4199,20.8181,18.6748,18.992
myrf-2;Q9U3I3,20.0896,19.7406,19.8324,20.4793,18.0398,20.4525,21.3886,18.2605
snx-6;D9PTP5,19.9042,18.9178,16.2128,17.788,18.3186,17.5463,17.6194,18.7692
snx-6;D9PTP5,20.4092,19.2159,19.3386,18.297,20.3473,21.8027,19.0192,18.0245
snx-6;D9PTP5,19.6739,20.1947,19.1326,21.3461,16.8164,16.7269,20.5958,20.2593
;E0AHE1,23.0031,22.3217,24.0063,24.4271,18.8237,20.9513,19.1148,17.5584
ent-7;Q20396,26.2846,24.8903,25.8383,25.5543,24.5042,25.4718,25.8326,25.4954
;E1B6S4,21.5491,22.9226,24.871,22.5627,19.4713,19.2084,19.5274,17.75
C27A7.1;E1B6U2,23.929,24.0364,25.0964,23.1027,25.3326,26.0886,26.2348,26.3466
rsd-2;E1B6W0,28.5413,28.261,26.5334,22.6261,25.6465,26.235,26.1397,26.4432
hpo-34;E3W743;Q93636;Q93637,19.4698,19.407,19.8275,17.5268,23.2114,22.83,23.117,22.1776
