geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
rpl-20,18.3776,18.0131,18.2155,18.0687,17.5403,18.5754,17.843,17.3871
set-9,12.8729,12.838,12.8634,13.0459,15.0956,14.3395,13.9203,14.2771
fnta-1,16.3094,15.6582,15.46,15.9071,14.3027,14.4215,14.2053,14.7186
cogc-8,11.8018,11.6834,12.1941,12.0835,12.6077,11.5101,11.5293,11.2272
"CELE_R02D3,1",17.5595,17.5312,17.3932,17.4158,17.4766,17.7835,17.5993,18.0406
"CELE_F42G8,10",17.5988,17.369,16.7022,17.2274,17.2016,16.6274,17.0388,16.8538
moc-3,13.963,14.3729,14.2538,14.1262,12.1111,15.3891,9.83616,12.1096
sph-1,14.4921,13.6516,14.4958,13.9189,15.3707,15.4328,15.4295,16.0144
isp-1,19.8452,19.9851,19.768,19.9135,19.205,20.1672,20.0926,19.8605
"CELE_F56A11,5",14.638,15.2761,14.925,15.3268,15.574,16.8764,15.8377,16.4326
gex-2,14.8904,14.6404,14.4069,14.3343,13.1633,13.7921,13.6526,13.0794
acdh-3,17.7322,17.692,17.6026,17.7024,17.7243,17.6379,17.708,17.9379
"CELE_K06A5,2",11.9421,12.0453,11.8661,11.7146,13.9774,12.3839,12.9242,12.7285
alh-5,14.2326,14.7171,14.5934,14.5651,14.7739,15.2244,14.5411,15.3251
"CELE_T22B11,4",14.8323,14.8802,14.6537,14.7426,14.9756,14.9647,13.8896,15.1268
lam-1,17.3041,17.2561,17.1071,17.0875,16.7117,16.5979,16.5746,16.7751
"CELE_W03F8,4",16.3591,16.3756,15.8519,15.9467,15.6763,15.4264,15.4891,15.7144
"W03F8,3",12.0254,11.9831,11.6775,11.8247,11.5947,12.4228,11.9295,12.589
tni-4,14.6832,15.3392,15.0093,15.2963,14.6034,14.1039,14.0476,14.6871
"CELE_F48G7,5;CELE_F48G7,8",13.6993,13.5813,13.1095,13.4618,14.0297,13.7168,13.787,13.8562
hacd-1,12.0128,11.8754,11.6566,11.8397,15.0413,16.2813,15.1506,15.7607
"CELE_K11D12,7",17.0858,17.023,17.0202,17.0312,15.3026,15.54,15.5602,15.098
pqn-51,13.6941,13.5679,13.7608,13.6909,13.3708,13.6204,13.4172,14.088
cyp-35a5,13.4505,13.6776,12.7927,12.9033,0,8.01238,10.1847,8.1944
cyp-34a8,14.3588,13.8481,13.3854,13.357,14.2364,13.9174,13.5468,13.6762
