geneName;Leading.proteins,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
;Q8IFY5,22.8229,22.6278,22.3611,27.0492,27.08,26.9082
;Q95Q55,26.5754,26.482,26.3437,24.5849,24.3923,23.7535
;H2KZA9,25.2591,24.9932,24.8995,24.8678,25.0511,24.8256
aka-1;Q18930,25.1252,25.2238,25.6444,22.8782,23.0797,22.9798
;Q9BL66,23.0287,23.0003,22.9672,25.0265,24.8137,25.1348
ifc-2;H2KZR4,24.7176,24.2049,24.3564,22.994,23.08,23.1157
ifc-2;H2KZR4,23.5848,23.3184,22.8975,22.8764,22.7315,23.1215
;H2KZT9,22.9866,22.6711,22.6425,25.3642,26.5921,24.8392
cas-1;H2L023,26.2393,26.3207,26.345,22.9574,22.9086,22.9847
;H2L048,25.5886,25.8016,26.017,22.5218,23.0229,23.047
;H2L048,25.2138,25.5847,25.1139,24.991,25.3445,24.9923
mex-3;Q95R07,25.7343,26.1731,22.8174,23.0231,23.1049,23.069
ptc-3;H2L0G5,22.8641,22.9175,22.6687,23.5197,23.6532,24.6495
;H2L0R6,27.415,26.7241,27.0971,24.2705,24.9627,24.6698
brp-1;I2HAF4,23.0287,22.8737,22.5711,25.2403,24.7383,25.8613
brp-1;I2HAF4,22.8274,22.9235,22.9427,24.9001,25.6079,25.5303
rps-6;I2HAF8,22.4726,22.9033,22.9554,25.1278,25.3543,24.9752
rps-6;I2HAF8,23.5098,23.59,21.7771,22.8862,23.2315,22.8627
lec-3;Q95ZI4,26.3511,25.3034,24.665,24.5466,24.7053,24.0117
lec-3;Q95ZI4,25.2345,25.2679,25.0982,22.5343,22.9838,22.5708
his-40;his-73;his-2;his-72;his-74;his-71;K7ZUH9;P08898;Q9U281,24.3664,24.2509,23.4474,24.6987,25.1979,24.4598
tnt-4;O44556,22.1594,22.5025,22.8128,24.1147,24.2414,23.9492
;Q9XV55,25.5226,25.2018,25.0039,22.8657,23.1076,23.1247
ifb-2;M1Z854,25.0282,24.8983,24.7184,22.2767,22.6433,23.0671
stam-1;O01498,22.7841,22.7698,22.7365,23.706,24.6645,25.1378
npp-11;O01576,22.957,22.5749,22.9707,23.6188,23.6128,24.2059
unc-108;O01577,23.0293,22.6371,22.6337,26.2872,26.6884,26.4436
rpl-7;O01802,26.2105,26.0407,26.3267,22.9451,23.0108,22.6372
rps-10;O01869,31.2752,31.0818,31.2144,31.8829,31.9746,32.0899
spin-1;O01927,25.364,26.1385,26.1075,25.6071,25.3099,25.6369
rpl-4;O02056,24.4171,25.0847,25.3973,22.4398,22.5643,22.9626
;O02155,22.8047,22.8021,22.7599,24.4009,24.0816,23.945
ifa-2;O02365,23.3893,24.0009,24.2513,26.5487,24.4508,24.948
snb-1;O02495,22.9969,22.79,22.6954,25.5495,25.8821,25.6582
snb-1;O02495,27.8688,27.4386,27.5467,27.3291,27.7365,27.6831
snb-1;O02495,24.3976,24.3179,24.3331,25.8428,26.1296,26.2033
mdh-2;O02640,21.9298,22.567,24.208,25.7475,22.0908,24.8762
dnj-19;O16303,26.6551,26.6304,26.7277,26.0906,25.9018,25.8188
dnj-19;O16303,27.3588,27.1854,26.8622,25.7112,26.4895,26.4229
cmd-1;O16305,23.2431,23.2943,23.1122,24.8039,24.8602,25.6052
cmd-1;O16305,22.8857,22.9565,22.887,24.6621,25.2974,25.0992
cmd-1;O16305,26.5029,24.7414,25.2676,23.0545,22.8465,22.5386
cmd-1;O16305,26.7755,26.6866,26.8392,24.4573,25.2525,24.6414
catp-3;O16331,23.0116,22.9257,22.8681,24.6488,24.5299,24.6945
rpt-2;O16368,26.5441,25.8911,25.6138,25.8515,25.3014,24.9361
rpt-2;O16368,24.1569,24.4155,24.0522,22.2586,22.8326,22.9282
;O16547,27.4985,27.2926,27.4635,26.6582,27.6043,26.9779
rpt-4;O17071,22.2154,21.5611,22.1821,22.9646,22.9998,22.9045
;O17167,26.1754,26.312,26.3299,25.0596,25.7613,25.3647
mct-6;O17328,25.7667,26.0455,25.9197,26.8077,26.8632,26.6331
mct-6;O17328,23.0134,22.9183,22.8627,24.2197,24.2983,24.0131
attf-2;O17406,26.0247,25.8961,25.6299,22.6901,23.1038,22.6143
attf-2;O17406,26.0247,25.8961,25.6299,24.7812,25.988,26.2486
attf-2;O17406,26.8151,27.1149,27.2505,26.7597,26.5485,26.3836
attf-2;O17406,22.9962,22.8604,22.916,23.4534,24.2275,23.7279
attf-2;O17406,23.4635,22.6232,23.1957,23.0961,22.3083,23.33
ruvb-1;O17607,26.2412,26.2052,25.7602,25.3273,25.7213,24.9031
nasp-2;O17687,25.6664,25.3577,25.0415,26.5114,26.8651,27.1098
nasp-2;O17687,24.2468,23.9269,23.7728,23.0643,23.0688,22.9525
nasp-2;O17687,26.2709,25.412,25.4893,22.8607,23.0035,23.7453
nasp-2;O17687,22.8369,22.5993,22.7724,26.7103,26.7779,26.676
;O17891,23.7148,23.9268,23.6738,23.9155,24.3912,23.742
arrd-11;O17981,26.5047,26.61,26.5121,25.1391,25.5667,25.292
;O18307,25.4923,25.4359,26.0208,25.0443,24.886,25.1346
;O18307,25.2535,25.1531,25.6614,24.5905,24.886,23.6492
perm-4;O44144,25.4294,25.4549,25.4718,23.0667,23.0206,22.7085
perm-2;O44145,21.0289,21.7481,22.11,22.864,20.2364,21.5878
perm-2;O44145,23.1362,23.5171,23.852,21.7254,21.3846,23.0619
T07A9.8;O44410,31.3301,31.2977,31.4211,31.395,32.155,31.2105
T07A9.9;O44411,24.826,25.4708,25.2526,25.094,24.6994,24.8397
otub-4;U4PEY4,22.7992,22.7072,22.4599,23.2073,23.1692,24.2724
snpn-1;O44445,27.1261,27.0246,26.949,26.6715,26.5649,26.7582
rpl-20;O44480,24.3211,24.352,24.5705,23.1117,22.8478,23.1009
rpl-20;O44480,27.5561,28.3297,27.6319,26.0007,27.0572,26.94
;O44735,27.7042,27.7223,27.4489,26.616,26.8153,27.0304
;O44735,26.0204,25.2049,26.0142,23.9879,25.3382,25.4787
;O44735,26.0204,26.5367,25.8177,23.0951,22.9222,22.9829
snf-1;O44752,24.9925,24.6149,25.4289,25.0414,25.5983,26.0235
;O44885,25.227,25.4864,24.987,23.6866,24.1034,24.024
;O44895,25.1294,25.0763,25.0001,23.0682,22.5279,22.6869
haf-9;Q8IA64,25.0199,24.4944,25.437,24.3597,24.4497,25.0477
;Q86MG4,26.4003,26.4233,26.0979,24.9322,24.8362,24.7447
;O45181,24.7031,24.4854,24.8335,23.8208,23.8142,23.5019
fkb-6;O45418,22.8629,22.8132,21.4662,23.6182,23.934,23.8706
oac-20;O45470,26.8279,26.6031,26.9376,25.794,26.1003,25.8631
uev-1;O45495,24.8138,24.9161,24.3654,23.0474,22.8049,23.0961
;O45628,25.4222,24.7274,25.0407,22.9939,22.7717,23.0735
cpl-1;O45734,24.4362,24.3539,24.5635,22.7082,22.666,23.0206
act-5;act-4;act-2;act-3;act-1;O45815;Q6A8K1,25.4296,25.1326,24.8911,25.0761,24.6629,24.7255
act-5;act-4;act-2;act-3;act-1;O45815;Q6A8K1;Q95ZL1,26.4484,26.7179,26.3035,24.4573,25.5962,25.3941
C08F11.11;O62053,25.109,25.1325,24.9611,22.8967,23.0919,23.0881
cey-1;O62213,26.431,26.3305,26.3353,26.6039,26.4691,26.4936
;O62256,23.6964,25.6395,23.9079,23.0809,23.0952,22.463
;O62256,26.0663,25.9891,26.485,22.7212,22.8504,22.981
;O62317,23.5256,24.0545,24.1861,22.6881,22.4841,22.9441
;O62347,28.7788,28.2958,29.2111,27.828,28.1225,28.8543
;O62347,28.7788,28.2958,29.2111,27.828,28.1225,28.8543
col-119;dpy-4;Q18799,27.5055,28.0103,27.4267,27.5699,27.6441,27.8543
col-119;dpy-4;Q18799,25.257,25.8774,25.7067,27.7328,27.3317,27.5569
rpn-11;F37A4.5;O76577,25.59,25.2209,25.636,22.9389,23.3012,23.2976
mig-6;O76840,24.2091,23.9067,24.1773,23.0439,23.0829,22.9576
hsp-16.48;P02513,24.4253,24.9676,24.9478,25.7362,25.9232,19.8865
hsp-16.48;hsp-16.41;P02513;P06581,22.7807,22.8682,22.7543,25.8488,26.1596,25.9765
unc-54;P02566,22.9541,22.6208,22.7916,23.8029,23.2474,22.2457
