geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
hpo-34;E3W743;Q93636,20.2654,19.2622,21.0751,20.4301,20.7085,21.192,21.5474,20.3623
hpo-34;E3W743;Q93636,21.371,20.6411,20.6673,20.2437,20.8697,19.7825,21.7638,21.0557
hpo-34;E3W743;Q93637,21.3927,20.7671,21.0962,21.1604,21.0332,21.2105,20.7529,19.7911
hpo-34;E3W743;Q93637,20.4159,20.996,21.7019,19.666,22.5866,23.5466,24.2028,22.9432
hpo-34;E3W743;Q93637,20.8204,21.4409,18.7951,20.5006,23.5746,23.2003,23.0437,22.3095
hpo-34;E3W743;Q93636,20.0389,20.327,21.0417,19.6274,20.225,21.1236,21.6591,21.0512
hpo-34;E3W743;Q93636,21.1276,21.52,19.9632,19.6248,27.083,23.8738,23.1201,22.3789
hpo-34;E3W743;Q93636,20.9533,21.2277,21.0674,19.8928,23.417,24.8483,24.9713,24.9752
hpo-34;E3W743;Q93636;Q93637,24.8303,23.2406,22.5627,26.9486,26.1476,27.7598,25.699,26.599
hpo-34;E3W743;Q93636,23.0994,20.8578,22.7501,20.5856,19.5841,20.0197,21.4333,20.1896
;E3W759,21.006,20.2356,19.6376,21.0252,20.7136,20.8377,21.7322,21.3593
dnj-14;Q21162,20.4125,20.9919,20.1365,20.7898,20.6212,21.3923,19.5863,21.4249
dnj-14;Q21162,21.8611,20.4563,19.7144,21.3679,20.7202,19.4023,21.1648,20.7119
dnj-14;Q21162,25.6598,24.5876,26.5991,26.3522,18.412,21.9761,22.437,20.9131
dnj-14;Q21162,25.5786,26.6759,25.3105,24.6104,21.3979,23.1015,23.6577,22.2046
mca-1;F5GU98,21.6326,20.9995,20.4899,21.3964,21.3739,22.7872,23.1814,22.0419
mca-1;F5GU98,29.0581,28.6953,28.833,25.3364,26.039,28.0582,27.9882,26.886
mca-1;F5GU98,20.8372,20.395,20.469,20.1997,26.3064,24.329,25.2574,25.1132
mca-1;F5GU98,23.8003,23.1075,23.6058,27.0348,19.8325,21.4652,19.5098,20.6719
mca-1;F5GU98,21.7716,21.3662,20.3378,21.3412,21.0236,21.0779,20.8861,21.0805
;F5GUH0,25.4083,24.8316,24.7288,22.8805,24.8774,26.1593,24.1917,25.0649
;F5GUH0,24.2132,24.3688,25.0392,24.0397,22.6943,22.5066,23.945,23.1711
;F5GUH0,25.0425,23.5921,24.0249,25.3588,19.8154,22.8482,22.7736,21.4886
lea-1;F5GUH5;H2FLK8;H2FLK9,21.786,21.325,20.4004,19.5194,20.8572,21.1005,21.5266,20.4866
lea-1;F5GUH5,22.1746,22.106,23.2125,21.7074,20.254,21.4854,19.9515,19.2787
lea-1;F5GUH5;H2FLK8;H2FLK9,19.6649,19.5664,21.8065,19.7986,19.821,19.2827,21.5172,20.6672
lea-1;F5GUH5,21.6614,20.1857,21.0012,21.3633,21.7975,22.704,21.4572,23.3792
lea-1;F5GUH5,23.447,22.021,23.0596,23.2056,20.9402,21.8762,21.1425,21.2165
lea-1;F5GUH5,22.4922,23.2017,22.7273,22.534,20.3627,21.5457,21.0648,20.2835
