geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
T05H10.4;B7WN71,23.1489,25.845,24.9966,23.8267,21.2807,21.2965,21.2213,20.4487,,,,
rpl-32;B7WN95;Q22716,22.8597,21.9995,21.2783,20.3977,20.3419,21.2027,20.3604,20.3478,,,,
;B7WNA1,23.4342,26.3625,27.8663,27.7608,21.7147,22.5178,22.0646,22.4565,,,,
ztf-18;B9ZSG9,21.9632,20.988,21.3919,20.4921,21.5045,20.9024,21.5147,21.3549,,,,
uba-1;C1P636,27.3936,22.2508,24.0562,23.2087,21.471,20.7173,19.5881,21.9699,,,,
uba-1;C1P636,21.5017,20.6155,20.9376,20.8148,22.5521,21.6449,21.9665,23.5047,,,,
uba-1;C1P636,27.3016,27.091,26.9855,27.1379,28.286,29.9323,29.7354,28.7573,,,,
uba-1;C1P636,20.7915,18.6303,21.4809,21.2311,20.1321,21.8338,21.1902,21.0473,,,,
uba-1;C1P636,21.5846,20.2994,20.0581,19.0028,22.8085,23.5901,24.9533,24.3424,,,,
;C6KRI9,21.9266,19.3904,20.3025,21.3167,21.458,21.5299,22.758,22.377,,,,
;C6KRJ1,25.9445,23.7488,23.1183,23.9353,22.732,24.4234,23.0384,24.1261,,,,
;C6KRJ1,20.6562,21.2023,20.4001,21.4084,19.5567,21.5613,21.3932,20.3586,,,,
;C6KRL2,22.8889,21.835,24.3561,22.8322,20.5165,20.4768,20.0589,21.1083,,,,
;C6KRL2,25.5941,21.7457,22.4191,22.735,20.7262,21.7809,21.8341,20.1589,,,,
;C6KRL2,21.2868,21.1702,20.1776,21.2708,21.3622,21.7378,21.3455,21.7891,,,,
sao-1;C6KRN1,21.2725,20.4811,20.8668,19.7007,20.1318,19.6751,21.7919,20.0726,,,,
sao-1;C6KRN1,22.4722,21.5802,20.6416,21.6901,20.3814,20.4836,21.7323,21.738,,,,
;C7GIK1,23.2566,25.7555,25.0678,24.4368,23.811,22.8812,22.466,22.9325,,,,
fln-1;D0IMZ5;U4PM01,20.9664,21.1219,21.2973,20.5326,21.5477,19.0419,20.7347,20.8467,,,,
fln-1;D0IMZ5;U4PM01,21.7955,19.2461,21.4775,21.4753,20.606,21.0738,19.3191,21.881,,,,
laf-1;D0PV95,22.0229,19.7411,21.0967,21.6996,19.3101,21.5928,21.3521,20.4235,,,,
sql-1;D0Z5P0,21.4557,20.0335,20.3962,20.3614,21.329,21.5462,21.6418,19.4906,,,,
sql-1;D0Z5P0,20.359,19.1344,21.2743,20.7016,20.7662,21.4595,20.9881,21.0587,,,,
sql-1;D0Z5P0,20.301,21.1824,21.586,21.3731,20.4718,20.3956,21.7591,21.5323,,,,
;Q22832,21.7678,20.4897,21.5053,21.0149,24.509,25.7114,25.2927,25.8654,,,,
