geneName,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04
"C27H6,8",15.9085,15.6287,15.8741,16.0285,16.4596,16.5121,16.6817,16.7733
ruvb-1,15.9838,15.6658,15.8876,15.9148,16.6277,16.136,16.6345,16.5889
"C29F3,7",14.2533,14.137,14.3538,14.2401,16.0322,15.0978,16.1262,16.194
"C29F7,1",13.8044,13.9735,13.5721,13.5904,13.878,14.6121,13.4175,12.8143
"C29F7,2",15.5916,15.4027,15.5155,15.4858,16.4926,16.3121,16.1491,16.1695
"C29F7,3",15.732,15.6035,15.1761,15.9304,16.6307,16.3573,16.2103,16.6102
"C31C9,2",18.0588,18.1783,17.9485,17.8108,19.5209,19.5078,19.3384,19.4162
ethe-1,15.5935,15.7286,15.1399,15.4675,17.6483,17.7984,17.0384,17.1939
col-179,16.4614,17.0738,17.4085,17.5212,21.1147,20.4727,19.695,20.4641
idh-2,16.1624,16.3267,15.9825,16.3609,17.3085,17.4347,17.1005,16.7894
aspm-1,13.6034,13.2825,12.9086,12.5449,12.8374,13.3288,12.6963,13.2924
sams-1,17.6296,17.4586,17.8768,18.0223,19.1917,19.2089,19.1215,18.9925
"C49F5,7",17.6721,17.5498,17.1696,17.4932,18.8351,19.2723,18.4832,19.8446
nasp-2,15.8313,16.2199,16.3357,16.518,18.8152,18.6278,19.0698,18.2383
ril-1,18.1665,18.2967,18.1843,18.5122,18.1145,17.6663,17.8804,17.9513
hda-1,15.1358,15.0549,14.9602,15.4097,16.8568,16.325,15.8933,16.6707
"CELE_D1086,3",15.9363,15.7956,16.5168,16.5189,16.351,15.869,16.2956,16.1559
"CELE_D1086,1",17.4694,17.5047,17.4768,17.8374,18.5974,17.9755,17.6719,17.2985
"CELE_D1086,6",16.0126,16.0167,15.041,14.8835,18.1194,18.5496,17.6594,17.1203
mpst-1,15.4564,15.4828,15.4831,15.5216,15.4616,15.6155,15.9021,16.1007
"CELE_D2023,4",14.7573,14.8209,14.8979,15.4481,15.4004,16.1577,15.9385,16.1412
pyc-1,15.9448,15.9423,16.4358,16.2356,17.0129,16.8139,17.3389,17.3834
"CELE_D2023,6",12.0442,12.2615,12.4835,12.6816,15.1227,14.9508,15.3391,15.519
clec-17,15.2997,15.7451,14.3387,15.8963,13.3085,12.9413,12.9107,13.2999
egl-21,14.8505,15.0111,14.6559,14.7925,16.0238,15.6871,14.9606,14.3665
tkt-1,19.2196,19.0896,19.7079,19.7538,19.7733,19.8729,20.205,20.4261
ech-8,14.7455,12.3229,16.3345,13.0771,13.211,13.3026,11.8028,13.257
lipl-7,12.496,13.0691,13.077,13.1351,14.9379,15.8858,15.2413,15.6143
pes-7,11.1336,11.8726,11.0748,11.2504,13.3012,13.2158,10.5398,13.3452
col-98,9.32899,9.68149,10.8421,10.739,13.1296,13.3548,12.7465,12.9592
"CELE_F15A4,6",14.6649,15.0363,14.8451,15.2355,13.3361,12.9388,12.6669,12.6912
"CELE_F21A3,3",14.5461,14.5406,14.6733,13.8911,14.794,14.0206,13.5585,14.0789
pyk-1,15.7887,16.7427,15.5286,16.3482,16.6045,16.7863,16.0281,16.4368
