geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
rpa-1,17.2472,17.8531,17.4793,17.7335,16.4967,16.8164,16.5877,16.6021
utp-20,14.3647,15.4362,15.0411,14.6295,16.3176,17.6391,16.329,17.4158
abcf-1,19.3584,19.8001,19.3607,19.9321,18.0039,18.0371,17.8265,17.9164
scc-3,17.4569,17.4574,17.5114,17.4574,14.8237,15.4235,14.0961,14.4018
ddo-2,14.4076,15.1144,14.4888,15.498,14.524,16.2463,15.9162,16.3308
nlp-7,14.8537,15.3837,15.0334,15.2224,12.0096,10.721,10.9224,10.5736
gpa-12,16.0359,16.1278,15.4349,15.1716,15.8915,15.8969,15.6367,15.8034
pes-8,18.2216,18.9677,18.171,19.2047,14.2305,14.7305,14.0962,14.3281
pab-2,17.5859,18.9252,18.0135,18.4921,16.189,16.1831,16.166,16.1867
"CELE_F18H3,4",14.2012,15.5023,14.2531,15.4069,13.5236,13.0603,13.7992,12.9089
ufd-1,19.8334,17.8736,17.8623,18.0342,16.2253,16.1412,15.9083,15.8825
"CELE_F19C7,1",16.7485,18.2653,19.2422,18.9902,17.8301,17.63,17.5815,17.6131
"CELE_F20A1,1",14.6469,14.9716,14.4213,15.4709,14.6068,14.6872,14.7406,14.7362
"CELE_F20A1,10",14.9649,14.181,14.6109,15.2808,12.4394,13.313,13.9242,13.4819
vha-12,22.1672,22.4777,22.0714,22.515,21.3743,21.4079,21.2243,21.3025
exc-9,14.2851,15.1916,13.9538,15.016,12.1661,12.4505,12.4232,12.8219
czw-1,16.6085,16.2871,15.7464,16.5598,15.4567,15.2829,15.3553,15.3454
"CELE_F20D12,2",16.0845,16.7608,16.5824,16.175,17.6767,17.7143,17.5693,17.5975
"CELE_F20D6,11",17.059,17.4363,16.7287,17.1009,16.1522,16.0915,15.8886,15.9638
"CELE_F21C10,10",13.8647,14.1802,15.0428,15.0938,15.6668,15.4763,15.3964,15.3615
"CELE_F21C10,9",15.0133,15.3158,14.3062,14.465,13.2984,12.9423,13.0527,13.3394
"CELE_F21C10,7",16.6079,17.2661,16.566,16.4111,16.3341,14.6278,14.1217,14.2941
"CELE_F21D5,1",16.7453,17.9322,16.8879,18.5984,16.5263,16.6791,16.4222,16.5505
"F21D5,5",13.9827,14.9309,14.0363,15.1246,14.4784,14.6369,14.6421,14.5509
mrps-33,14.3885,14.433,13.6367,15.1886,12.6455,12.499,12.7498,13.0595
"CELE_F21D5,3",14.9806,13.8155,14.7326,14.6251,12.2463,12.9025,13.0109,12.813
ttr-35,17.3906,17.7742,16.8138,17.1878,17.0301,16.5678,16.5542,16.4997
gfat-2,16.7879,16.0195,17.3346,16.1527,14.2244,14.6129,14.3428,14.8543
"eif-3,G",18.2174,18.8425,18.442,18.8037,17.294,17.2496,17.2024,17.2245
frs-2,17.0361,16.3735,17.0331,17.6161,16.8188,16.8046,16.6488,16.6758
"F22B5,10",14.8741,15.1021,14.0112,15.2268,15.6985,15.8385,16.1792,16.0354
ceh-38,14.2422,15.5018,14.4784,15.0062,12.0157,11.9678,11.8701,11.5563
nrs-1,18.6862,19.3264,18.9869,19.2164,17.3657,17.3437,17.2277,17.2621
"CELE_F22D6,2",15.023,15.4565,14.7567,15.2449,15.1348,15.2192,14.9869,15.2188
nduf-6,14.8504,14.8701,13.8232,14.4272,16.5335,16.5713,16.5452,16.5008
ekl-1,16.9477,17.0599,16.6357,16.6417,14.4603,14.2287,14.0746,13.8942
inx-3,17.1593,17.4826,16.8735,17.1993,14.9509,14.667,14.5019,14.6598
dlat-1,18.4349,18.8987,18.5679,19.4856,18.7519,18.8407,18.6492,18.7311
fntb-1,17.133,18.1955,16.7285,17.361,14.495,14.422,14.4924,14.4023
"F23B12,7",17.7551,17.4044,17.0551,16.3878,14.1016,14.5487,14.4856,14.4301
tomm-20,18.9075,19.6304,19.1889,19.3502,17.6366,17.6436,17.6261,17.7076
snb-2,14.7019,15.2135,12.7119,15.3012,14.7117,14.6903,14.7863,14.6621
"CELE_F25D1,5",14.7221,15.2208,14.4046,15.2415,11.5107,12.006,11.7876,11.7859
ppm-1,15.9248,18.0098,16.2481,16.9436,17.0454,16.6641,16.566,16.6567
ifd-2,15.4249,16.3072,16.0013,16.4868,14.9484,15.0436,14.9055,14.9142
dur-1,18.079,18.8275,18.2273,18.6024,16.4014,16.519,16.3611,16.3749
col-140,18.4995,18.8947,18.5838,19.1715,14.7085,14.9731,14.7891,14.9004
nhl-2,16.4914,18.5424,17.191,18.5958,14.7007,14.9869,14.42,14.5134
cee-1,13.7085,15.4513,13.9065,15.5063,19.8143,16.645,16.6682,16.1516
rrt-1,18.3067,18.4723,18.2236,18.3787,17.2182,16.7232,16.739,16.7664
rpb-8,17.8288,17.7866,17.8733,18.2924,16.174,16.0774,15.801,16.0624
"CELE_F26G1,5",14.5034,15.4974,13.6771,14.0668,13.9739,13.4453,14.013,13.8443
msp-3,24.9231,24.1591,24.4579,22.8961,15.1422,18.7144,16.0709,15.4795
pcca-1,20.4067,20.576,20.4102,20.6641,19.7095,19.7065,19.6253,19.6828
vrk-1,14.5594,15.2521,14.9465,14.9515,14.0107,14.5056,13.3282,13.3683
"CELE_F28B4,3",18.6917,19.3387,18.7025,19.1726,17.9192,17.9261,17.7279,17.9714
cpf-1,14.9269,14.8175,14.7284,15.3574,13.4992,13.1008,12.6258,12.4907
suf-1,14.6771,15.0465,14.0094,15.2215,13.6353,13.7943,13.5001,13.3062
