geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
"CELE_Y37E3,11",16.8137,16.2133,17.2123,15.9924,16.4862,15.1082,14.6326,15.4832
"CELE_M03F8,3",12.896,13.3659,12.9565,12.9126,13.8431,14.0846,13.4157,12.6564
"CELE_F55B12,10",15.7405,14.6986,15.2145,15.9035,14.0504,14.5195,14.2264,13.4726
pptr-2,14.3601,14.1521,15.0532,14.5272,14.9798,14.4007,14.3091,14.0341
"maph-1,2",16.4752,16.8223,16.4792,16.853,16.305,15.8908,15.7928,16.4358
"CELE_K09G1,1",12.7793,13.2196,12.3409,12.9997,12.2552,12.8451,12.5611,12.0781
"B0303,7",16.2117,16.3816,16.1003,15.88,15.59,15.0902,14.845,15.0644
"C23H3,3",13.9686,14.0559,13.4374,14.183,13.7357,12.6212,13.1505,13.6813
"C17C3,1",13.3619,13.5964,13.4345,13.5351,13.8795,14.3428,14.2842,14.3652
glna-1,12.9859,13.3544,13.0117,13.0199,11.4708,11.0175,11.2093,11.6717
"CELE_Y61A9LA,11",13.0439,13.4257,12.3035,13.0602,13.5688,12.7531,13.5933,14.3852
"CELE_F41E6,5",12.5598,13.3938,13.0617,12.937,12.5618,11.7534,12.5495,12.7107
"CELE_T25B2,2",17.0805,16.6036,17.1596,17.3488,15.2928,12.8713,13.0416,16.0681
trpp-1,13.0291,13.15,12.901,12.8031,11.3641,11.1781,11.2525,11.5066
tsp-10,13.0789,13.2041,12.7063,12.8878,12.3055,12.4856,12.4437,13.6292
ugt-26,16.1929,16.2029,16.1446,16.897,16.4473,16.645,16.5788,16.9456
"C14H10,3",14.6345,15.5736,14.3517,13.533,13.8898,13.7291,13.4312,13.423
"CELE_D1086,10",19.9963,20.0103,19.6325,19.8193,19.3954,19.0315,18.9308,18.6272
poml-3,16.8777,16.3685,15.8772,16.4513,14.3338,14.2494,13.8992,15.5383
unc-57,17.1517,17.4588,16.857,17.1118,16.209,16.0865,16.051,16.4387
szy-20,15.9856,16.6144,17.9625,16.5612,16.6646,15.8838,15.7374,15.7368
"CELE_T06E4,14",13.0774,12.9902,12.4875,12.9277,11.3308,10.9042,11.2195,11.4486
"CELE_F13G3,10",12.5129,12.9887,13.0143,12.7307,11.3141,11.1449,12.3911,11.3731
rmd-2,18.1434,17.8381,18.525,18.3382,16.0437,16.0568,16.1528,16.1071
smc-3,15.6024,15.7746,15.078,15.8921,14.6819,15.0386,15.1898,14.7674
ntl-2,14.5941,14.8531,14.2035,14.668,14.1789,14.4401,14.5377,14.1725
gcn-1,15.7754,15.5507,15.7951,15.8896,15.752,15.9117,15.9622,15.5573
urm-1,18.1438,18.1976,18.3832,18.7141,17.8233,18.1964,17.9227,18.313
nono-1,16.4315,16.2988,15.8685,16.4711,15.3171,15.5952,15.4526,15.4454
atf-7,13.1239,13.312,12.9029,13.0705,10.2368,11.6118,11.8959,10.9052
vps-26,15.0307,15.2588,15.877,16.3041,15.0507,15.1223,15.1306,15.18
ndx-9,16.5558,16.6943,15.76,15.8055,15.5459,15.4328,15.3957,15.3698
"C14F11,4",16.9351,17.4484,16.223,16.2772,16.5888,16.4148,16.4312,16.3339
abts-1,14.9082,15.726,15.5864,14.8705,14.6455,14.5903,14.3627,14.1869
"CELE_ZK858,6",14.7834,15.139,14.8066,14.5363,14.978,14.4906,14.3168,14.3482
"C41G7,9",19.4722,20.1656,18.4635,17.628,17.5717,16.7591,19.1556,17.2968
lin-10,14.7805,14.7908,14.2388,14.5273,14.8645,14.6701,14.8594,14.9565
"CELE_M04C9,3",13.0603,13.408,12.8191,13.0433,11.3932,9.55992,11.2762,11.5651
"C31H5,6",13.0798,13.4121,13.0392,12.7918,11.4013,11.1343,11.1502,11.6101
"CELE_ZK355,8",18.7249,19.5607,19.7109,19.8675,16.4887,16.4969,16.4243,16.1475
spds-1,16.1867,15.689,16.6937,16.5207,14.4535,15.1165,16.4215,14.6654
nxf-1,13.7299,14.4623,14.1894,14.444,14.6199,14.8511,14.5977,14.8824
"CELE_F38A6,5",12.152,13.6929,13.1243,13.4914,11.3654,11.9056,11.2762,11.553
"CELE_T03D8,6",15.5997,15.8864,15.4929,15.9246,14.8574,14.4961,14.7442,14.9609
ret-1,17.4001,18.013,17.5113,17.4751,17.0221,16.6113,16.354,16.939
"CELE_D1086,12",15.8176,15.0673,16.0434,15.2894,15.021,15.9267,15.9276,15.2951
"CELE_F52C12,6",13.6729,15.4948,16.1789,16.5155,14.1678,14.6427,14.1178,14.2776
"CELE_Y40B1A,3",16.2118,15.8323,16.0385,15.7001,14.4998,14.0117,14.5913,15.8046
pals-37,20.4114,20.7502,20.6265,19.9756,18.7703,18.6688,17.8268,18.6663
"CELE_F59A2,2",15.1133,15.44,14.8557,14.867,14.0791,14.1075,14.2702,14.5037
ptr-24,13.1401,12.8758,12.9223,12.8773,16.106,16.4935,16.4503,15.2753
"CELE_F11C1,5",12.0933,14.5732,14.4365,14.3477,13.2549,13.0517,12.9927,14.924
"CELE_Y43F8B,1",18.8891,18.841,19.2274,19.3188,18.637,18.5232,18.8916,19.0915
sam-10,13.0476,13.4206,13.0436,12.9128,15.0923,16.0562,14.8501,14.5637
dic-1,18.0754,18.1891,18.1522,19.6352,20.2252,20.0375,19.8693,19.7644
unc-68,13.0759,13.231,12.6154,12.969,11.5395,10.7791,12.6507,11.1341
"CELE_T05H10,4;T05H10,4",14.4011,14.6479,15.5634,13.3412,15.8117,16.2801,15.8871,14.0024
"CELE_M05D6,5",15.3661,15.4515,15.713,15.7918,15.9978,16.0272,16.0805,16.0999
ctg-2,14.4582,14.8873,14.3879,15.3911,13.7307,13.8963,14.0126,14.2818
rpl-32,18.1137,17.9064,17.9827,18.7288,19.3172,19.3598,19.8177,19.4186
"CELE_F37H8,3",14.6714,15.0149,14.2591,13.7468,13.6714,13.2556,13.1719,12.6058
clec-146,15.4512,14.8623,13.9801,13.7379,13.7563,13.9413,14.1263,14.3478
tnt-3,16.4974,17.0799,16.2796,16.3893,16.6635,16.1828,16.3124,16.5355
mlt-11,15.1827,15.5988,15.3569,15.7079,13.7421,13.3203,12.9912,13.7728
hrpu-1,13.0514,13.0758,13.035,13.0213,13.595,13.1477,13.9873,13.3873
kcc-2,15.9924,15.9276,13.5813,14.2658,13.8177,13.827,13.918,14.1821
ced-7,12.9223,13.1435,13.0287,12.7964,14.0239,13.8928,14.5212,13.792
"CELE_F17C8,9",15.4222,15.7818,14.9892,15.0749,14.8777,14.8453,15.0041,15.2278
unc-119,13.0842,13.3969,12.6241,13.053,13.752,12.654,12.7119,13.3435
mrpl-46,15.7649,16.2221,16.7317,16.7056,15.7284,15.5221,15.2468,14.9413
"CELE_F40G9,5",12.8526,13.405,12.6614,12.9304,12.1324,12.5133,13.0437,13.8124
"CELE_F40G9,17",13.4242,14.7974,15.0223,14.2874,14.9622,15.1769,14.38,13.3603
"CELE_Y54G11A,17",14.5487,14.0785,13.5669,13.6132,13.1901,13.784,13.5532,14.3971
let-767,17.1269,17.419,16.6056,18.1997,17.0774,16.9506,17.4799,16.7233
dnj-16,14.2134,14.3862,14.4507,14.5381,14.3745,14.7776,14.766,14.8344
cfim-2,15.9337,15.9838,16.1309,16.1767,14.8777,15.3765,15.0308,15.0555
