geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
atg-3,15.6242,14.0583,15.7673,16.2171,14.066,13.7353,13.7486,13.9792
immp-2,17.5498,17.6652,17.6893,18.3165,14.0038,14.2531,14.326,14.1089
lep-2,14.0382,13.9574,14.4677,15.0308,13.1663,12.7926,12.7282,13.9573
lec-6,16.2144,17.6689,19.9362,17.7657,20.5968,20.5152,20.5648,20.5449
"CELE_Y55B1AL,2",14.0228,14.0973,14.3391,14.8703,12.2204,11.2819,11.3336,13.2781
"CELE_Y54H5A,1",17.9304,17.668,17.9148,18.8672,14.9171,15.0118,15.1279,15.23
"Y54G2A,23",20.9743,20.0476,19.7204,21.4569,17.5488,17.1802,17.1853,16.8111
clec-83,16.1807,15.301,15.4781,18.4553,16.749,16.3057,16.3888,17.021
"CELE_Y54F10AR,2",14.2595,13.6699,13.9171,15.0821,13.1079,13.168,13.1368,12.7254
rpb-7,16.8576,17.0886,16.1623,17.5235,14.9557,15.3667,15.395,15.2414
"CELE_Y54E10BR,5",18.0531,18.1642,18.6056,18.7015,15.8678,15.8727,16.0411,16.1312
"CELE_Y54E10BR,3",14.1831,13.3537,13.6145,14.8973,12.9206,12.6498,13.0872,12.7016
"CELE_Y54E10BR,4",14.1595,14.2047,14.131,15.1399,14.2334,13.6083,13.9403,14.3162
nduf-5,18.5499,18.5293,18.741,19.5929,17.9153,17.544,17.7789,17.721
"Y54E10A,10",16.5323,16.2019,15.8462,17.7195,15.366,15.0466,15.7002,16.1199
dnc-6,14.5178,14.207,14.0259,15.0237,12.4218,13.7922,12.9851,12.2945
"CELE_Y54E10A,6",16.2628,16.3879,15.2741,17.3997,14.5752,14.6658,14.5791,14.3635
mrpl-17,15.3203,16.2162,15.3277,15.1795,14.5096,15.1179,14.9068,14.4109
"CELE_Y53G8AR,9",17.8226,18.1101,18.9841,19.4363,15.6671,15.9439,15.633,15.2593
"CELE_Y53G8AR,6",18.2492,18.002,17.8514,18.4648,16.8712,16.6422,16.8315,16.9331
"CELE_Y53G8AR,8",12.2354,14.042,13.0283,14.9422,12.8114,11.8115,12.3329,11.8355
"CELE_Y53G8AM,5",14.4909,14.4157,13.9333,14.7932,11.5499,13.7304,13.2449,11.5182
"CELE_Y53G8AL,2",17.7656,17.1124,17.7832,18.1049,17.8671,18.1293,18.1375,18.1417
"CELE_Y52E8A,3",13.6711,14.1109,13.9624,14.9991,13.4068,12.3776,12.6794,13.3187
"CELE_Y51H7C,13",14.2345,13.6767,13.9496,15.0905,12.4777,12.4395,12.631,13.9279
"CELE_Y51H7C,7",15.9322,15.334,15.7409,16.0795,14.3844,13.2895,13.0212,14.1752
xpd-1,14.0435,13.7661,14.1438,14.3885,13.6957,13.1979,13.4838,13.2122
daf-25,14.408,14.2961,13.8685,14.776,14.7371,13.4017,14.0586,16.2674
"CELE_Y48G1A,4",14.0915,14.3233,13.7146,14.2178,12.5085,12.7747,12.9701,13.2099
rnp-6,15.486,16.1935,16.1059,17.8203,14.7026,14.272,14.5883,14.6607
"CELE_Y47G6A,18",16.8114,17.4457,18.771,18.374,16.0871,14.8208,15.4108,15.3373
crn-1,15.786,16.7586,16.3682,19.2783,14.9639,15.7406,14.9534,15.1011
"CELE_Y47G6A,9",16.4902,16.292,15.9968,17.8661,13.5724,13.9799,14.1257,13.5846
spg-7,17.8335,18.1461,16.5681,18.2659,16.8803,17.0166,16.9959,16.9021
msh-6,14.1545,14.0756,14.4345,14.6354,13.7352,14.1207,13.6764,13.983
skr-14,14.3704,14.3436,13.934,14.8226,14.0805,13.5848,13.6686,14.2181
clec-76,14.5094,14.4362,13.8436,15.117,9.88441,9.91666,9.88461,9.97189
rps-4,19.5072,20.2391,19.2607,19.8662,20.4012,20.504,20.5079,20.4733
"CELE_Y42H9AR,1",17.3234,18.0245,17.6082,17.4672,16.4713,16.5834,16.3544,16.3253
sqst-2,14.1578,15.6597,15.1503,15.4971,13.3361,13.0656,13.8253,13.6121
"CELE_Y39H10A,1",14.3351,14.1329,13.9955,14.7959,9.96109,9.80584,9.89342,9.88575
chk-1,14.4696,14.4229,14.3155,14.9225,9.92519,9.94065,9.89826,9.96932
ddp-1,16.5523,14.7157,16.7341,17.7945,17.9931,17.3632,17.4806,18.0123
pvf-1,15.7778,15.5849,15.1859,14.9282,13.6473,13.1668,12.8309,12.6168
"CELE_Y39A3CL,3",14.3453,14.3843,14.4954,15.1588,13.5319,13.8556,13.8428,13.7906
nsy-4,14.0742,13.8469,14.4782,14.936,12.4637,13.6416,13.0655,13.5476
csn-3,16.5959,16.223,15.5467,17.0105,13.1309,13.6401,13.5083,13.3147
"CELE_Y38C1AA,7",17.0331,17.0389,17.1214,17.5029,16.3768,16.311,16.2631,16.1354
glrx-10,13.2686,13.8399,14.0463,14.9682,18.4723,18.4045,18.2696,18.1823
"CELE_Y34D9A,7",15.6037,16.0025,16.3279,15.6737,13.1735,13.2237,13.7275,13.7362
"CELE_Y23H5B,5",15.1403,15.4241,15.3509,15.5335,14.4098,14.4543,14.2708,14.7372
"CELE_Y23H5B,6",15.5822,14.7293,14.5089,14.5677,13.5762,15.2033,14.5165,13.3977
"CELE_Y110A2AR,1",14.3498,14.3873,14.4012,15.0718,11.2887,11.2782,11.4221,11.332
ncap-1,15.7983,16.3223,16.2415,17.5654,15.0636,14.7039,14.6413,15.2939
pinn-1,16.9419,16.6415,18.4469,17.3448,16.0373,16.0523,16.2047,15.5946
hxk-3,17.1011,16.7551,16.8797,17.2253,15.1941,15.389,15.3288,15.0113
npp-20,17.1861,16.5724,16.8033,17.5199,14.9775,15.2986,15.2453,15.0713
clp-7,14.1905,13.9653,14.2123,15.1654,14.4166,13.9757,14.2697,13.7637
cpsf-1,14.3452,15.8315,15.6329,15.5608,11.6407,11.3693,11.4304,12.1922
xpc-1,14.349,14.2234,13.9639,14.9858,12.052,12.1771,11.3482,11.133
"CELE_Y76B12C,3",16.7037,17.1938,17.9802,17.839,14.9308,15.7134,15.9108,15.87
nlp-40,19.0774,19.3201,19.2737,19.5472,16.4423,16.5315,16.5902,16.754
homt-1,16.7682,16.8984,17.0585,17.7335,14.4781,14.3269,14.3557,14.8376
"CELE_Y73C8B,3",13.5345,13.4514,14.3784,15.0899,13.9678,13.8674,13.7506,14.0865
"CELE_Y71H2B,2",16.616,16.8178,17.8846,18.4064,14.592,14.5929,14.4178,14.6517
ppfr-4,14.1178,14.0041,14.1168,14.9794,13.6536,13.0212,12.6147,13.5942
"CELE_Y71H2B,4",17.4447,17.2114,17.3499,19.2009,14.0964,14.1159,14.9365,14.8007
"CELE_Y71H2B,5",14.5125,14.4216,14.1016,14.7238,12.4006,12.5613,12.5366,12.566
apb-1,15.7846,16.0436,16.0231,15.004,15.4448,16.0349,15.7829,15.4266
"Y71F9B,2",16.7633,16.5027,15.5443,16.9876,14.9168,14.2523,14.5021,14.8088
yop-1,16.7751,17.5019,19.1232,18.3937,18.3632,18.1686,18.6337,18.6105
snr-7,20.5187,20.1006,19.7391,20.6522,18.872,18.1822,18.3796,18.2157
copa-1,17.4972,17.6294,17.7261,18.7403,16.1184,16.2943,16.0239,15.8243
arx-1,17.0751,16.9157,17.3122,17.8163,16.8404,17.2912,17.2631,17.5871
"CELE_Y71F9AL,9",18.6407,18.6852,18.1375,20.1718,17.3269,17.1338,17.1651,17.5188
rpl-10a,17.3928,18.7336,18.2099,19.0914,19.0976,20.0017,19.8984,19.5637
"CELE_Y71F9AL,12",16.664,15.6675,16.3474,17.2719,15.2816,17.1717,16.2647,15.7436
vit-3,19.6778,19.3562,20.0095,20.3735,18.3153,18.4552,18.4262,18.103
"CELE_F54A3,2",14.4514,13.6506,14.49,14.7585,11.5442,11.9429,11.9395,11.9654
cct-3,18.64,18.6783,18.6542,18.8493,17.3696,17.8911,17.8871,17.6898
"F54A3,5",14.387,14.3635,14.3337,15.0543,17.2496,16.9303,16.6993,17.0447
"CELE_ZK973,11",15.9218,15.7024,16.1455,16.1394,14.1782,14.09,14.0459,14.0953
lpd-5,18.4774,19.5708,18.8496,19.771,17.1286,17.2747,17.4858,17.5382
"CELE_ZK973,9",14.4987,14.3579,14.3189,14.8721,15.6927,14.9319,15.2872,15.3558
pdp-1,14.355,14.395,14.3795,14.5337,13.4993,13.0667,12.1131,13.3106
anc-1,22.4076,22.1499,22.2041,21.841,19.5243,19.7543,19.587,19.4801
perm-3,14.5176,13.9985,13.8309,14.3644,13.601,13.4087,13.0435,13.6721
swsn-6,16.642,14.4528,17.0245,14.7316,14.0798,14.261,14.1051,13.9066
"CELE_ZK355,3",14.3159,14.0936,14.0089,14.1467,5.17032,11.7219,14.0473,0
glrx-21,16.8596,17.4552,16.7466,18.1498,16.2146,16.0641,16.197,16.3181
"CELE_Y9C12A,1",14.4248,13.9303,14.5799,14.6699,11.5062,11.2338,11.3192,11.208
"exos-4,2",13.6799,14.1353,14.4527,14.9056,12.8947,14.3112,13.0824,12.497
"CELE_Y53G8B,1",16.3577,15.9529,16.1363,15.8815,13.7822,13.4309,13.3834,13.3124
"CELE_Y53G8B,2",13.5865,14.9223,13.5481,14.7324,11.5989,11.7418,12.173,12.7422
cyh-1,16.0097,15.2999,15.8259,16.1839,14.3666,14.4182,14.4317,15.32
"CELE_Y49F6B,2",14.084,14.1628,14.1208,13.2053,15.0938,14.7974,14.8686,14.5859
smu-2,16.1281,15.7619,15.7256,15.4531,14.1713,13.7004,13.5583,13.8025
"CELE_Y47D9A,1",17.4035,17.1226,17.4345,17.7198,15.0779,15.1204,14.7954,14.4785
"CELE_Y46D2A,2",18.202,16.6002,16.8041,19.1933,13.4539,12.9157,13.2912,13.7182
gst-10,17.0935,16.9818,16.9755,17.4734,16.2052,16.5838,16.4928,16.3847
nuo-5,18.782,18.5453,18.6864,19.4568,17.8648,17.5998,17.7817,17.9454
"Y45G12B,2",16.3319,16.5988,16.5021,16.5852,14.7238,13.7203,14.3943,14.3174
"Y45G12B,3",16.7789,16.16,16.9248,18.3663,15.4713,15.2453,15.3282,15.2464
mvk-1,16.6749,16.5988,16.518,16.5743,15.011,15.027,14.951,15.0839
mltn-8,20.7989,13.7726,16.351,20.1579,9.99809,9.86871,9.9359,9.88968
szy-2,18.1376,17.8452,17.2316,19.14,16.4124,16.0166,16.1451,15.9264
